,0
0,0
1,17
2,34
3,30
4,27
5,29
6,33
7,35
8,41
9,51
10,53
11,56
12,48
13,51
14,51
15,51
16,46
17,48
18,48
19,50
20,48
21,49
22,50
23,54
24,58
25,63
26,66
27,68
28,71
29,76
30,77
31,76
32,76
33,73
34,71
35,72
36,71
37,70
38,72
39,72
40,72
41,74
42,74
43,74
44,77
45,78
46,78
47,80
48,80
49,81
50,82
51,84
52,85
53,82
54,82
55,82
56,84
57,84
58,85
59,87
60,85
61,84
62,85
63,83
64,81
65,83
66,81
67,85
68,80
69,82
70,83
71,82
72,84
73,85
74,88
75,89
76,83
77,83
78,86
79,88
80,86
81,82
82,84
83,84
84,86
85,92
86,96
87,97
88,101
89,107
90,109
91,107
92,105
93,101
94,114
95,124
96,131
97,138
98,112
99,121
100,121
101,127
102,134
103,129
104,132
105,123
106,126
107,136
108,119
109,126
110,132
111,146
112,157
113,163
114,158
115,166
116,182
117,194
118,215
119,224
120,233
121,240
122,242
123,258
124,257
125,274
126,291
127,303
128,307
129,331
130,344
131,360
132,361
133,363
134,390
135,398
136,408
137,428
138,439
139,477
140,493
141,510
142,517
143,544
144,555
145,567
146,590
147,595
148,612
149,637
150,668
151,705
152,720
153,743
154,781
155,819
156,844
157,872
158,900
159,928
160,953
161,976
162,1000
163,1000
164,1000
165,1000
166,1000
167,1000
168,1000
169,1000
170,1000
171,1000
172,1000
173,1000
174,1000
175,1000
176,1000
177,1000
178,1000
179,1000
180,1000
181,1000
182,1000
183,1000
184,1000
185,1000
186,1000
187,1000
188,1000
189,1000
190,1000
191,1000
192,1000
193,1000
194,1000
195,1000
196,1000
197,1000
198,1000
199,1000
200,1000
201,1000
202,1000
203,1000
204,1000
205,1000
206,1000
207,1000
208,1000
209,1000
210,1000
211,1000
212,1000
213,1000
214,1000
215,1000
216,1000
217,1000
218,1000
219,1000
220,1000
221,1000
222,1000
223,1000
224,1000
225,1000
226,1000
227,1000
228,1000
229,1000
230,1000
231,1000
232,1000
233,1000
234,1000
235,1000
236,1000
237,1000
238,1000
239,1000
240,1000
241,1000
242,1000
243,1000
244,1000
245,1000
246,1000
247,1000
248,1000
249,1000
250,1000
251,1000
252,1000
253,1000
254,1000
255,1000
256,1000
257,1000
258,1000
259,1000
260,1000
261,1000
262,1000
263,1000
264,1000
265,1000
266,1000
267,1000
268,1000
269,1000
270,1000
271,1000
272,1000
273,1000
274,1000
275,1000
276,1000
277,1000
278,1000
279,1000
280,1000
281,1000
282,1000
283,1000
284,1000
285,1000
286,1000
287,1000
288,1000
289,1000
290,1000
291,1000
292,1000
293,1000
294,1000
295,1000
296,1000
297,1000
298,1000
299,1000
