,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,14.0,15.0,13.0,13.0,14.0,15.0,14.0,13.0,13.0,14.0,13.0,14.0,14.0,15.0,14.0,14.0,15.0,16.0,16.0,15.0,15.0,16.0,16.0,15.0,15.0,16.0,15.0,15.0,15.0,15.0
1,22.0,5.0,2.0,8.0,4.0,23.0,24.0,23.0,10.0,15.0,22.0,21.0,19.0,8.0,7.0,9.0,22.0,23.0,24.0,9.0,9.0,12.0,10.0,4.0,3.0,3.0,24.0,24.0,24.0,24.0
2,19.0,18.0,11.0,5.0,7.0,17.0,20.0,14.0,0.0,1.0,4.0,23.0,21.0,23.0,21.0,18.0,24.0,22.0,14.0,12.0,12.0,13.0,12.0,8.0,10.0,11.0,17.0,17.0,20.0,23.0
3,22.0,3.0,3.0,6.0,6.0,24.0,24.0,23.0,5.0,11.0,21.0,24.0,23.0,6.0,11.0,10.0,23.0,24.0,24.0,8.0,10.0,10.0,10.0,4.0,4.0,4.0,23.0,24.0,23.0,24.0
4,24.0,3.0,3.0,7.0,3.0,23.0,24.0,24.0,2.0,2.0,23.0,17.0,24.0,6.0,21.0,16.0,24.0,24.0,23.0,10.0,9.0,10.0,9.0,4.0,4.0,4.0,24.0,22.0,24.0,24.0
5,23.0,4.0,4.0,5.0,3.0,24.0,24.0,24.0,11.0,14.0,20.0,20.0,22.0,5.0,7.0,12.0,22.0,22.0,23.0,10.0,11.0,13.0,8.0,4.0,4.0,5.0,23.0,24.0,22.0,24.0
6,23.0,5.0,5.0,5.0,4.0,23.0,23.0,23.0,7.0,13.0,20.0,22.0,24.0,6.0,10.0,9.0,24.0,24.0,23.0,9.0,9.0,10.0,10.0,4.0,3.0,4.0,24.0,24.0,24.0,23.0
7,24.0,3.0,3.0,6.0,6.0,23.0,22.0,24.0,8.0,14.0,21.0,22.0,21.0,7.0,8.0,10.0,23.0,23.0,24.0,9.0,10.0,12.0,8.0,4.0,5.0,2.0,24.0,23.0,24.0,24.0
8,22.0,4.0,3.0,5.0,6.0,24.0,24.0,23.0,12.0,15.0,20.0,19.0,19.0,8.0,8.0,10.0,22.0,22.0,23.0,10.0,11.0,12.0,9.0,5.0,6.0,5.0,22.0,23.0,22.0,23.0
9,23.0,4.0,4.0,6.0,5.0,23.0,23.0,23.0,10.0,14.0,21.0,20.0,23.0,5.0,8.0,10.0,23.0,22.0,23.0,9.0,11.0,13.0,8.0,4.0,4.0,4.0,23.0,24.0,23.0,24.0
10,23.0,4.0,4.0,5.0,5.0,23.0,23.0,24.0,8.0,12.0,21.0,23.0,23.0,5.0,9.0,10.0,23.0,23.0,24.0,8.0,10.0,12.0,9.0,4.0,4.0,6.0,23.0,23.0,22.0,24.0
11,24.0,4.0,3.0,4.0,5.0,24.0,24.0,23.0,10.0,13.0,19.0,19.0,19.0,10.0,10.0,11.0,21.0,22.0,22.0,10.0,11.0,13.0,10.0,5.0,3.0,3.0,24.0,24.0,23.0,24.0
12,23.0,6.0,3.0,3.0,7.0,22.0,24.0,23.0,8.0,8.0,19.0,23.0,23.0,7.0,12.0,11.0,24.0,24.0,24.0,7.0,10.0,12.0,8.0,3.0,8.0,2.0,23.0,24.0,22.0,24.0
13,23.0,4.0,2.0,7.0,4.0,23.0,24.0,24.0,8.0,12.0,19.0,22.0,22.0,8.0,8.0,12.0,23.0,23.0,23.0,9.0,10.0,12.0,9.0,4.0,4.0,5.0,23.0,23.0,23.0,24.0
14,24.0,1.0,1.0,6.0,9.0,23.0,23.0,24.0,8.0,10.0,21.0,22.0,22.0,7.0,11.0,10.0,23.0,21.0,24.0,9.0,13.0,11.0,8.0,3.0,8.0,1.0,23.0,23.0,24.0,24.0
15,23.0,3.0,3.0,6.0,6.0,23.0,23.0,24.0,11.0,14.0,20.0,20.0,20.0,7.0,8.0,11.0,22.0,23.0,23.0,9.0,11.0,12.0,9.0,4.0,5.0,5.0,24.0,22.0,22.0,24.0
16,22.0,3.0,4.0,5.0,6.0,24.0,24.0,23.0,5.0,11.0,21.0,23.0,23.0,7.0,11.0,10.0,23.0,24.0,24.0,8.0,10.0,10.0,10.0,4.0,5.0,4.0,23.0,23.0,23.0,24.0
17,23.0,3.0,4.0,6.0,7.0,23.0,21.0,24.0,10.0,13.0,20.0,21.0,21.0,9.0,9.0,8.0,22.0,22.0,23.0,10.0,10.0,13.0,9.0,2.0,7.0,3.0,24.0,24.0,23.0,23.0
18,22.0,7.0,1.0,6.0,5.0,23.0,23.0,24.0,9.0,11.0,20.0,22.0,22.0,8.0,7.0,12.0,22.0,23.0,23.0,10.0,10.0,12.0,9.0,3.0,6.0,5.0,23.0,22.0,23.0,24.0
19,23.0,4.0,3.0,5.0,7.0,23.0,22.0,24.0,8.0,13.0,21.0,21.0,21.0,8.0,10.0,9.0,23.0,23.0,23.0,9.0,10.0,12.0,9.0,4.0,6.0,3.0,24.0,21.0,24.0,24.0
20,24.0,2.0,2.0,4.0,9.0,23.0,24.0,23.0,6.0,6.0,18.0,24.0,23.0,10.0,11.0,13.0,22.0,22.0,24.0,8.0,14.0,12.0,7.0,3.0,6.0,2.0,23.0,24.0,24.0,24.0
