,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
0,13.0,14.0,13.0,13.0,14.0,15.0,14.0,17.0,16.0,16.0,17.0,17.0,18.0,14.0,14.0,14.0,14.0,14.0,13.0,13.0,16.0,14.0,15.0,14.0,15.0,14.0,14.0,15.0,14.0,13.0,13.0,15.0,13.0,14.0,12.0
1,1.0,1.0,18.0,19.0,19.0,19.0,19.0,13.0,14.0,17.0,18.0,19.0,20.0,11.0,6.0,6.0,4.0,24.0,22.0,23.0,19.0,20.0,20.0,18.0,14.0,8.0,3.0,23.0,23.0,22.0,17.0,23.0,0.0,1.0,0.0
2,11.0,16.0,12.0,11.0,16.0,13.0,17.0,13.0,17.0,11.0,22.0,16.0,22.0,15.0,18.0,17.0,21.0,9.0,8.0,8.0,24.0,18.0,15.0,12.0,15.0,12.0,6.0,15.0,15.0,17.0,17.0,17.0,9.0,15.0,4.0
3,14.0,15.0,13.0,13.0,13.0,15.0,13.0,16.0,15.0,18.0,17.0,17.0,18.0,14.0,15.0,13.0,15.0,14.0,14.0,11.0,15.0,14.0,15.0,14.0,15.0,15.0,14.0,14.0,14.0,14.0,14.0,13.0,12.0,15.0,13.0
4,1.0,0.0,19.0,21.0,8.0,24.0,23.0,9.0,9.0,15.0,22.0,24.0,22.0,12.0,11.0,1.0,3.0,23.0,24.0,22.0,21.0,23.0,23.0,13.0,7.0,11.0,4.0,19.0,23.0,17.0,24.0,23.0,1.0,2.0,0.0
5,1.0,0.0,15.0,19.0,19.0,21.0,21.0,8.0,9.0,18.0,19.0,23.0,24.0,14.0,10.0,4.0,0.0,24.0,24.0,20.0,23.0,21.0,22.0,19.0,15.0,1.0,1.0,23.0,20.0,23.0,17.0,21.0,2.0,2.0,1.0
6,1.0,5.0,18.0,20.0,6.0,23.0,23.0,9.0,10.0,16.0,18.0,24.0,24.0,13.0,14.0,3.0,2.0,20.0,21.0,23.0,24.0,21.0,24.0,12.0,7.0,11.0,3.0,24.0,23.0,16.0,19.0,23.0,1.0,0.0,3.0
7,1.0,2.0,16.0,20.0,18.0,20.0,19.0,12.0,14.0,17.0,19.0,20.0,19.0,8.0,8.0,7.0,4.0,23.0,22.0,24.0,20.0,21.0,19.0,17.0,15.0,10.0,0.0,23.0,24.0,20.0,16.0,21.0,2.0,3.0,0.0
8,4.0,5.0,19.0,19.0,7.0,21.0,21.0,9.0,9.0,15.0,21.0,23.0,24.0,12.0,12.0,3.0,4.0,21.0,22.0,22.0,22.0,22.0,23.0,13.0,9.0,11.0,2.0,24.0,24.0,17.0,24.0,15.0,2.0,2.0,1.0
9,1.0,1.0,16.0,20.0,15.0,21.0,22.0,9.0,8.0,19.0,19.0,23.0,23.0,14.0,10.0,4.0,2.0,23.0,23.0,20.0,23.0,21.0,22.0,15.0,14.0,6.0,1.0,24.0,21.0,22.0,17.0,21.0,1.0,2.0,1.0
10,3.0,4.0,15.0,17.0,10.0,23.0,24.0,10.0,9.0,15.0,19.0,24.0,24.0,12.0,12.0,1.0,5.0,24.0,20.0,22.0,22.0,21.0,22.0,14.0,14.0,7.0,2.0,21.0,22.0,16.0,20.0,22.0,4.0,2.0,2.0
11,0.0,1.0,17.0,21.0,15.0,22.0,20.0,12.0,12.0,15.0,19.0,21.0,22.0,13.0,10.0,4.0,3.0,22.0,22.0,22.0,20.0,21.0,22.0,16.0,13.0,10.0,0.0,21.0,24.0,20.0,16.0,23.0,3.0,1.0,1.0
12,7.0,9.0,17.0,17.0,5.0,20.0,21.0,5.0,7.0,20.0,22.0,24.0,23.0,11.0,11.0,4.0,7.0,19.0,22.0,22.0,23.0,21.0,24.0,14.0,11.0,8.0,1.0,21.0,17.0,18.0,22.0,23.0,3.0,5.0,0.0
13,9.0,4.0,18.0,17.0,8.0,20.0,20.0,6.0,7.0,19.0,23.0,23.0,23.0,13.0,7.0,5.0,7.0,21.0,22.0,21.0,24.0,20.0,23.0,12.0,9.0,11.0,3.0,19.0,20.0,22.0,22.0,21.0,1.0,4.0,0.0
14,2.0,1.0,15.0,19.0,11.0,24.0,24.0,12.0,10.0,15.0,17.0,23.0,24.0,14.0,12.0,2.0,4.0,22.0,21.0,21.0,22.0,19.0,24.0,15.0,14.0,7.0,1.0,23.0,22.0,17.0,19.0,22.0,2.0,2.0,2.0
15,1.0,2.0,16.0,20.0,18.0,20.0,19.0,13.0,13.0,17.0,19.0,20.0,19.0,9.0,8.0,7.0,4.0,23.0,22.0,23.0,20.0,21.0,19.0,17.0,15.0,10.0,0.0,22.0,23.0,20.0,16.0,22.0,2.0,4.0,0.0
16,0.0,1.0,17.0,19.0,17.0,20.0,22.0,12.0,12.0,13.0,22.0,19.0,23.0,12.0,11.0,6.0,4.0,22.0,20.0,21.0,20.0,22.0,23.0,16.0,8.0,12.0,1.0,23.0,22.0,18.0,22.0,22.0,1.0,1.0,0.0
17,2.0,1.0,16.0,20.0,13.0,23.0,21.0,13.0,11.0,15.0,19.0,21.0,22.0,14.0,9.0,4.0,6.0,21.0,20.0,22.0,21.0,22.0,22.0,15.0,13.0,9.0,0.0,22.0,23.0,20.0,18.0,22.0,1.0,2.0,1.0
18,1.0,1.0,17.0,21.0,8.0,24.0,24.0,11.0,10.0,17.0,19.0,20.0,24.0,13.0,12.0,4.0,3.0,21.0,22.0,21.0,22.0,22.0,23.0,14.0,10.0,11.0,0.0,23.0,23.0,16.0,17.0,22.0,3.0,1.0,4.0
19,3.0,2.0,15.0,18.0,12.0,22.0,24.0,9.0,7.0,18.0,20.0,23.0,24.0,15.0,10.0,2.0,4.0,23.0,23.0,19.0,23.0,20.0,21.0,16.0,13.0,6.0,3.0,24.0,18.0,19.0,19.0,24.0,2.0,2.0,1.0
20,2.0,1.0,17.0,19.0,13.0,22.0,22.0,10.0,11.0,16.0,20.0,22.0,22.0,10.0,11.0,4.0,5.0,22.0,22.0,22.0,20.0,21.0,22.0,15.0,13.0,11.0,0.0,23.0,23.0,20.0,17.0,21.0,3.0,1.0,1.0
21,1.0,1.0,17.0,20.0,17.0,20.0,20.0,14.0,14.0,16.0,18.0,19.0,20.0,9.0,8.0,6.0,6.0,23.0,22.0,22.0,19.0,20.0,19.0,18.0,15.0,8.0,3.0,22.0,24.0,20.0,17.0,22.0,1.0,1.0,2.0
22,0.0,0.0,16.0,21.0,16.0,23.0,20.0,12.0,11.0,16.0,19.0,21.0,22.0,12.0,9.0,4.0,5.0,23.0,21.0,22.0,18.0,20.0,21.0,17.0,16.0,9.0,1.0,22.0,23.0,20.0,16.0,22.0,2.0,1.0,3.0
23,1.0,1.0,17.0,18.0,14.0,22.0,23.0,16.0,14.0,15.0,16.0,18.0,22.0,14.0,12.0,4.0,1.0,23.0,21.0,21.0,18.0,21.0,22.0,13.0,11.0,16.0,1.0,24.0,22.0,19.0,20.0,17.0,3.0,2.0,2.0
24,2.0,2.0,17.0,17.0,15.0,20.0,23.0,11.0,13.0,16.0,20.0,19.0,22.0,10.0,8.0,5.0,6.0,22.0,22.0,23.0,22.0,21.0,22.0,15.0,12.0,9.0,1.0,21.0,22.0,20.0,19.0,24.0,1.0,1.0,1.0
25,1.0,0.0,17.0,20.0,18.0,21.0,19.0,13.0,13.0,17.0,17.0,20.0,21.0,14.0,9.0,5.0,5.0,21.0,21.0,21.0,18.0,20.0,21.0,16.0,16.0,11.0,0.0,22.0,22.0,21.0,15.0,22.0,3.0,3.0,1.0
26,13.0,17.0,11.0,12.0,12.0,15.0,16.0,16.0,16.0,16.0,17.0,16.0,20.0,14.0,14.0,16.0,17.0,13.0,11.0,11.0,18.0,15.0,15.0,13.0,14.0,15.0,12.0,14.0,13.0,16.0,15.0,13.0,12.0,16.0,10.0
27,1.0,2.0,17.0,18.0,15.0,20.0,23.0,11.0,11.0,14.0,22.0,19.0,24.0,12.0,10.0,5.0,5.0,22.0,21.0,21.0,22.0,19.0,23.0,16.0,10.0,11.0,1.0,23.0,22.0,18.0,22.0,23.0,0.0,0.0,1.0
28,13.0,15.0,13.0,12.0,14.0,14.0,15.0,14.0,16.0,16.0,18.0,18.0,19.0,14.0,15.0,14.0,15.0,13.0,14.0,11.0,17.0,16.0,15.0,13.0,14.0,14.0,13.0,13.0,13.0,15.0,15.0,13.0,13.0,16.0,11.0
29,5.0,4.0,16.0,19.0,9.0,21.0,22.0,10.0,10.0,16.0,19.0,23.0,23.0,12.0,13.0,2.0,2.0,22.0,22.0,23.0,21.0,22.0,22.0,15.0,10.0,11.0,1.0,24.0,23.0,17.0,19.0,22.0,1.0,1.0,2.0
30,13.0,15.0,13.0,13.0,14.0,14.0,14.0,15.0,16.0,17.0,18.0,17.0,18.0,14.0,15.0,13.0,15.0,14.0,14.0,11.0,15.0,14.0,16.0,14.0,15.0,14.0,14.0,14.0,13.0,14.0,14.0,14.0,13.0,15.0,12.0
31,1.0,0.0,17.0,20.0,17.0,21.0,20.0,13.0,13.0,17.0,18.0,20.0,20.0,13.0,8.0,6.0,7.0,21.0,20.0,21.0,17.0,19.0,20.0,16.0,16.0,10.0,4.0,22.0,23.0,20.0,17.0,21.0,1.0,2.0,3.0
32,1.0,0.0,17.0,20.0,19.0,21.0,18.0,12.0,13.0,17.0,19.0,20.0,20.0,14.0,8.0,6.0,5.0,21.0,21.0,21.0,18.0,21.0,20.0,17.0,16.0,10.0,0.0,22.0,22.0,22.0,16.0,22.0,1.0,3.0,1.0
33,1.0,0.0,17.0,20.0,18.0,21.0,19.0,12.0,13.0,17.0,19.0,20.0,20.0,14.0,9.0,5.0,5.0,21.0,21.0,21.0,18.0,21.0,21.0,16.0,15.0,10.0,1.0,22.0,22.0,22.0,16.0,22.0,1.0,3.0,1.0
34,1.0,4.0,16.0,17.0,13.0,22.0,23.0,11.0,11.0,16.0,20.0,20.0,23.0,9.0,11.0,7.0,4.0,22.0,21.0,22.0,21.0,23.0,20.0,12.0,13.0,10.0,3.0,23.0,24.0,19.0,19.0,19.0,3.0,1.0,1.0
35,1.0,1.0,17.0,20.0,16.0,21.0,20.0,12.0,11.0,17.0,19.0,21.0,21.0,13.0,10.0,5.0,5.0,21.0,21.0,21.0,17.0,23.0,22.0,15.0,14.0,10.0,1.0,22.0,23.0,21.0,17.0,22.0,1.0,2.0,1.0
36,2.0,2.0,16.0,20.0,12.0,22.0,22.0,13.0,10.0,17.0,18.0,21.0,22.0,13.0,9.0,5.0,3.0,22.0,22.0,22.0,21.0,22.0,21.0,15.0,12.0,10.0,1.0,23.0,24.0,17.0,17.0,24.0,0.0,1.0,3.0
37,1.0,1.0,15.0,21.0,15.0,22.0,21.0,12.0,12.0,15.0,21.0,20.0,21.0,11.0,12.0,3.0,7.0,19.0,22.0,22.0,22.0,18.0,20.0,15.0,13.0,13.0,1.0,23.0,24.0,21.0,17.0,20.0,0.0,0.0,4.0
38,2.0,1.0,16.0,19.0,16.0,20.0,22.0,13.0,11.0,15.0,21.0,19.0,22.0,12.0,10.0,6.0,5.0,22.0,21.0,20.0,20.0,21.0,22.0,16.0,9.0,12.0,2.0,23.0,22.0,18.0,20.0,21.0,3.0,1.0,1.0
39,2.0,3.0,16.0,13.0,16.0,23.0,23.0,8.0,14.0,17.0,19.0,20.0,23.0,10.0,8.0,8.0,3.0,22.0,22.0,23.0,21.0,22.0,21.0,14.0,14.0,10.0,0.0,21.0,23.0,20.0,18.0,23.0,3.0,1.0,0.0
40,12.0,16.0,14.0,12.0,13.0,15.0,14.0,16.0,16.0,15.0,17.0,17.0,20.0,14.0,15.0,14.0,16.0,13.0,13.0,11.0,17.0,15.0,15.0,13.0,15.0,14.0,13.0,13.0,14.0,15.0,15.0,14.0,12.0,14.0,12.0
41,2.0,3.0,17.0,19.0,10.0,23.0,22.0,10.0,10.0,15.0,19.0,23.0,24.0,13.0,13.0,3.0,3.0,20.0,22.0,22.0,23.0,21.0,24.0,13.0,9.0,11.0,1.0,23.0,23.0,19.0,18.0,23.0,1.0,1.0,1.0
42,1.0,1.0,16.0,20.0,18.0,21.0,19.0,13.0,12.0,17.0,18.0,19.0,22.0,10.0,7.0,7.0,8.0,21.0,22.0,21.0,20.0,19.0,19.0,17.0,14.0,12.0,1.0,22.0,22.0,20.0,17.0,23.0,2.0,2.0,1.0
43,7.0,9.0,14.0,13.0,12.0,20.0,21.0,14.0,13.0,15.0,19.0,20.0,20.0,12.0,14.0,11.0,10.0,14.0,17.0,18.0,20.0,18.0,18.0,16.0,13.0,14.0,3.0,19.0,19.0,15.0,17.0,18.0,8.0,7.0,6.0
44,3.0,2.0,10.0,22.0,14.0,21.0,24.0,8.0,10.0,16.0,23.0,21.0,23.0,19.0,18.0,6.0,14.0,16.0,14.0,9.0,24.0,18.0,18.0,13.0,15.0,11.0,3.0,20.0,23.0,24.0,18.0,21.0,1.0,1.0,1.0
45,2.0,1.0,17.0,19.0,18.0,20.0,19.0,12.0,13.0,17.0,18.0,21.0,20.0,15.0,8.0,6.0,5.0,20.0,21.0,21.0,18.0,20.0,20.0,17.0,16.0,10.0,1.0,22.0,22.0,21.0,17.0,22.0,1.0,3.0,1.0
46,13.0,17.0,12.0,12.0,11.0,14.0,17.0,16.0,17.0,16.0,17.0,16.0,19.0,14.0,14.0,16.0,16.0,12.0,12.0,12.0,18.0,16.0,15.0,13.0,14.0,15.0,11.0,15.0,14.0,16.0,15.0,13.0,10.0,15.0,11.0
47,9.0,8.0,15.0,16.0,15.0,17.0,16.0,15.0,14.0,18.0,18.0,17.0,19.0,12.0,12.0,10.0,11.0,18.0,17.0,16.0,17.0,17.0,16.0,15.0,14.0,14.0,9.0,17.0,18.0,18.0,15.0,16.0,8.0,10.0,7.0
48,3.0,2.0,17.0,18.0,13.0,22.0,21.0,10.0,11.0,16.0,20.0,22.0,22.0,10.0,11.0,6.0,6.0,21.0,21.0,21.0,20.0,20.0,21.0,15.0,13.0,12.0,1.0,23.0,22.0,21.0,17.0,21.0,2.0,2.0,1.0
49,0.0,2.0,15.0,21.0,18.0,21.0,19.0,13.0,13.0,19.0,18.0,18.0,20.0,11.0,10.0,9.0,3.0,20.0,21.0,22.0,20.0,20.0,20.0,16.0,14.0,12.0,0.0,23.0,22.0,21.0,15.0,20.0,1.0,5.0,2.0
50,2.0,2.0,15.0,18.0,14.0,22.0,23.0,10.0,12.0,16.0,20.0,20.0,23.0,9.0,10.0,7.0,6.0,20.0,21.0,23.0,22.0,21.0,22.0,14.0,12.0,9.0,2.0,22.0,22.0,20.0,18.0,23.0,2.0,1.0,1.0
51,3.0,4.0,16.0,17.0,14.0,21.0,21.0,11.0,11.0,16.0,20.0,20.0,23.0,11.0,13.0,6.0,7.0,18.0,21.0,20.0,21.0,18.0,21.0,16.0,13.0,11.0,2.0,22.0,22.0,20.0,17.0,20.0,2.0,2.0,4.0
52,2.0,1.0,16.0,20.0,16.0,21.0,20.0,13.0,12.0,17.0,18.0,20.0,21.0,13.0,9.0,6.0,6.0,21.0,20.0,21.0,18.0,20.0,20.0,16.0,15.0,10.0,3.0,22.0,22.0,20.0,16.0,21.0,2.0,3.0,3.0
