,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
0,15.0,15.0,15.0,15.0,14.0,15.0,14.0,14.0,14.0,13.0,13.0,14.0,13.0,14.0,14.0,13.0,14.0,14.0,15.0,13.0,15.0,14.0,14.0
1,13.0,1.0,12.0,9.0,23.0,22.0,23.0,1.0,0.0,2.0,19.0,21.0,20.0,23.0,23.0,1.0,17.0,9.0,10.0,23.0,21.0,22.0,9.0
2,24.0,16.0,21.0,3.0,13.0,11.0,15.0,15.0,13.0,14.0,17.0,13.0,1.0,19.0,17.0,15.0,2.0,5.0,17.0,13.0,13.0,23.0,24.0
3,9.0,6.0,11.0,7.0,23.0,24.0,23.0,1.0,1.0,0.0,23.0,20.0,17.0,24.0,23.0,0.0,7.0,4.0,16.0,22.0,23.0,23.0,17.0
4,13.0,6.0,8.0,5.0,24.0,23.0,24.0,1.0,1.0,5.0,20.0,18.0,17.0,23.0,24.0,1.0,1.0,9.0,8.0,24.0,21.0,24.0,24.0
5,15.0,15.0,15.0,15.0,15.0,14.0,14.0,14.0,15.0,14.0,13.0,14.0,12.0,13.0,14.0,14.0,14.0,14.0,14.0,13.0,14.0,14.0,15.0
6,8.0,7.0,13.0,6.0,22.0,23.0,24.0,0.0,0.0,0.0,23.0,20.0,19.0,23.0,24.0,1.0,7.0,6.0,15.0,22.0,23.0,22.0,16.0
7,14.0,5.0,10.0,6.0,22.0,23.0,23.0,0.0,1.0,1.0,22.0,18.0,21.0,23.0,23.0,0.0,7.0,7.0,11.0,22.0,22.0,24.0,19.0
8,13.0,14.0,8.0,7.0,20.0,21.0,20.0,0.0,1.0,1.0,18.0,20.0,23.0,23.0,23.0,0.0,16.0,14.0,13.0,21.0,21.0,18.0,9.0
9,10.0,7.0,13.0,7.0,21.0,21.0,24.0,0.0,0.0,2.0,22.0,18.0,21.0,24.0,22.0,0.0,12.0,11.0,12.0,23.0,24.0,19.0,11.0
10,12.0,5.0,11.0,8.0,24.0,23.0,20.0,5.0,1.0,1.0,15.0,21.0,21.0,24.0,21.0,3.0,3.0,3.0,10.0,24.0,22.0,24.0,23.0
11,13.0,10.0,9.0,7.0,21.0,21.0,22.0,1.0,1.0,1.0,20.0,19.0,22.0,23.0,22.0,0.0,16.0,12.0,13.0,21.0,22.0,19.0,9.0
12,11.0,7.0,11.0,7.0,22.0,22.0,23.0,1.0,1.0,0.0,22.0,19.0,21.0,22.0,23.0,2.0,9.0,11.0,12.0,22.0,22.0,23.0,11.0
13,11.0,7.0,13.0,8.0,19.0,22.0,23.0,2.0,0.0,0.0,20.0,20.0,20.0,24.0,23.0,1.0,14.0,13.0,13.0,20.0,20.0,20.0,11.0
14,10.0,7.0,10.0,7.0,23.0,23.0,23.0,1.0,1.0,2.0,23.0,18.0,18.0,23.0,23.0,0.0,6.0,6.0,14.0,23.0,22.0,23.0,18.0
15,9.0,5.0,14.0,6.0,23.0,22.0,24.0,1.0,1.0,1.0,20.0,22.0,17.0,24.0,23.0,0.0,12.0,7.0,15.0,19.0,19.0,22.0,18.0
16,12.0,8.0,9.0,7.0,23.0,22.0,22.0,1.0,1.0,1.0,22.0,17.0,22.0,22.0,23.0,1.0,8.0,10.0,11.0,23.0,22.0,24.0,13.0
17,16.0,6.0,10.0,7.0,22.0,22.0,20.0,2.0,3.0,1.0,18.0,16.0,23.0,23.0,23.0,3.0,5.0,5.0,7.0,23.0,22.0,24.0,23.0
18,8.0,8.0,10.0,8.0,24.0,21.0,24.0,0.0,1.0,1.0,22.0,17.0,21.0,24.0,23.0,2.0,3.0,6.0,13.0,24.0,21.0,21.0,22.0
19,13.0,9.0,9.0,8.0,20.0,23.0,21.0,2.0,9.0,1.0,18.0,17.0,14.0,24.0,24.0,2.0,2.0,9.0,3.0,24.0,24.0,24.0,24.0
20,9.0,7.0,11.0,8.0,22.0,23.0,23.0,1.0,1.0,1.0,19.0,19.0,21.0,24.0,23.0,1.0,12.0,5.0,13.0,23.0,23.0,22.0,13.0
21,10.0,7.0,13.0,6.0,22.0,22.0,23.0,2.0,1.0,2.0,21.0,19.0,17.0,23.0,24.0,1.0,9.0,5.0,15.0,21.0,21.0,23.0,17.0
22,8.0,7.0,13.0,7.0,21.0,23.0,24.0,2.0,1.0,1.0,22.0,20.0,19.0,21.0,23.0,0.0,9.0,6.0,15.0,23.0,22.0,22.0,15.0
23,10.0,6.0,12.0,8.0,22.0,23.0,22.0,2.0,0.0,1.0,23.0,19.0,17.0,24.0,23.0,0.0,8.0,5.0,15.0,23.0,22.0,22.0,17.0
24,8.0,7.0,12.0,9.0,22.0,22.0,23.0,1.0,1.0,0.0,20.0,20.0,21.0,23.0,23.0,1.0,12.0,5.0,13.0,22.0,23.0,23.0,13.0
25,10.0,7.0,12.0,8.0,21.0,23.0,22.0,1.0,1.0,0.0,23.0,20.0,18.0,23.0,23.0,0.0,10.0,7.0,15.0,21.0,21.0,21.0,17.0
26,11.0,7.0,10.0,7.0,24.0,21.0,23.0,2.0,0.0,5.0,22.0,17.0,19.0,22.0,22.0,2.0,1.0,7.0,11.0,24.0,23.0,23.0,21.0
27,11.0,8.0,9.0,7.0,24.0,21.0,23.0,1.0,1.0,3.0,22.0,18.0,20.0,22.0,22.0,2.0,2.0,8.0,11.0,23.0,23.0,23.0,20.0
