,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,15.0,15.0,15.0,14.0,15.0,15.0,15.0,17.0,16.0,17.0,16.0,16.0,17.0,14.0,14.0,14.0,13.0,15.0,12.0,14.0,15.0
1,15.0,8.0,11.0,11.0,11.0,24.0,24.0,24.0,11.0,11.0,24.0,23.0,6.0,24.0,24.0,11.0,14.0,13.0,3.0,3.0,19.0
2,1.0,1.0,18.0,20.0,21.0,24.0,19.0,8.0,7.0,13.0,23.0,24.0,24.0,23.0,9.0,3.0,5.0,1.0,23.0,24.0,23.0
3,14.0,14.0,15.0,13.0,14.0,17.0,17.0,17.0,18.0,16.0,16.0,16.0,16.0,18.0,18.0,17.0,13.0,13.0,10.0,10.0,12.0
4,0.0,1.0,17.0,19.0,20.0,23.0,24.0,8.0,7.0,13.0,23.0,24.0,24.0,23.0,9.0,3.0,5.0,2.0,23.0,23.0,23.0
5,0.0,1.0,18.0,19.0,18.0,24.0,24.0,10.0,10.0,11.0,24.0,23.0,21.0,24.0,7.0,5.0,4.0,4.0,23.0,20.0,24.0
6,1.0,4.0,12.0,21.0,18.0,24.0,24.0,11.0,8.0,10.0,22.0,24.0,24.0,24.0,12.0,7.0,1.0,1.0,21.0,24.0,21.0
7,1.0,1.0,19.0,19.0,19.0,22.0,23.0,11.0,11.0,11.0,21.0,23.0,22.0,23.0,4.0,3.0,2.0,8.0,24.0,24.0,23.0
8,8.0,8.0,15.0,4.0,21.0,24.0,24.0,24.0,10.0,9.0,24.0,24.0,8.0,24.0,14.0,4.0,2.0,4.0,17.0,22.0,24.0
9,1.0,0.0,18.0,18.0,20.0,23.0,24.0,10.0,11.0,12.0,22.0,22.0,22.0,23.0,5.0,3.0,1.0,8.0,23.0,24.0,24.0
10,1.0,1.0,20.0,19.0,19.0,22.0,22.0,10.0,11.0,11.0,23.0,21.0,23.0,23.0,4.0,6.0,4.0,4.0,24.0,23.0,23.0
11,1.0,1.0,17.0,20.0,18.0,23.0,24.0,9.0,10.0,12.0,22.0,23.0,23.0,24.0,5.0,4.0,4.0,6.0,24.0,20.0,24.0
12,2.0,2.0,18.0,17.0,19.0,23.0,23.0,10.0,11.0,10.0,23.0,22.0,23.0,22.0,4.0,4.0,2.0,8.0,24.0,24.0,23.0
13,0.0,1.0,19.0,20.0,19.0,22.0,23.0,10.0,11.0,12.0,22.0,22.0,22.0,23.0,5.0,5.0,4.0,5.0,23.0,22.0,24.0
14,14.0,14.0,15.0,13.0,14.0,17.0,17.0,17.0,17.0,16.0,16.0,17.0,16.0,17.0,17.0,15.0,13.0,13.0,11.0,12.0,13.0
15,1.0,0.0,17.0,21.0,18.0,23.0,24.0,9.0,10.0,12.0,22.0,23.0,23.0,23.0,6.0,5.0,4.0,7.0,24.0,19.0,23.0
16,15.0,15.0,15.0,15.0,14.0,15.0,15.0,17.0,16.0,17.0,16.0,16.0,17.0,14.0,15.0,15.0,13.0,14.0,12.0,13.0,15.0
17,1.0,1.0,17.0,20.0,18.0,23.0,24.0,9.0,10.0,12.0,22.0,23.0,23.0,23.0,6.0,4.0,4.0,6.0,24.0,20.0,24.0
18,1.0,2.0,20.0,15.0,19.0,23.0,24.0,4.0,12.0,15.0,22.0,23.0,23.0,24.0,11.0,2.0,4.0,4.0,18.0,24.0,24.0
19,1.0,2.0,18.0,18.0,20.0,22.0,23.0,10.0,11.0,12.0,22.0,22.0,22.0,23.0,4.0,4.0,2.0,9.0,23.0,23.0,23.0
20,1.0,1.0,16.0,19.0,20.0,24.0,23.0,10.0,8.0,13.0,24.0,22.0,22.0,22.0,6.0,5.0,5.0,5.0,22.0,22.0,24.0
21,14.0,14.0,14.0,13.0,15.0,17.0,17.0,18.0,17.0,15.0,16.0,17.0,16.0,18.0,19.0,15.0,14.0,11.0,11.0,12.0,11.0
22,0.0,1.0,18.0,21.0,18.0,23.0,23.0,12.0,9.0,13.0,20.0,23.0,22.0,23.0,6.0,6.0,4.0,6.0,23.0,20.0,23.0
23,1.0,2.0,16.0,20.0,19.0,23.0,23.0,9.0,8.0,13.0,24.0,22.0,23.0,22.0,8.0,5.0,5.0,3.0,23.0,22.0,23.0
24,15.0,15.0,13.0,10.0,12.0,19.0,20.0,19.0,16.0,17.0,16.0,16.0,15.0,19.0,21.0,16.0,12.0,10.0,11.0,11.0,11.0
25,2.0,1.0,19.0,17.0,18.0,24.0,23.0,10.0,12.0,10.0,23.0,24.0,20.0,23.0,8.0,3.0,2.0,5.0,23.0,23.0,24.0
26,15.0,16.0,14.0,13.0,14.0,16.0,16.0,18.0,16.0,17.0,16.0,16.0,16.0,17.0,17.0,15.0,12.0,13.0,11.0,12.0,14.0
27,2.0,1.0,18.0,17.0,20.0,23.0,23.0,11.0,11.0,12.0,21.0,22.0,22.0,23.0,4.0,2.0,3.0,9.0,24.0,22.0,24.0
28,1.0,2.0,17.0,20.0,17.0,24.0,23.0,9.0,9.0,14.0,21.0,22.0,24.0,22.0,8.0,5.0,5.0,2.0,23.0,23.0,23.0
29,2.0,1.0,18.0,19.0,19.0,22.0,23.0,11.0,12.0,11.0,22.0,22.0,21.0,24.0,4.0,3.0,2.0,8.0,23.0,24.0,23.0
30,0.0,1.0,19.0,19.0,22.0,22.0,21.0,11.0,12.0,11.0,22.0,21.0,22.0,23.0,5.0,4.0,5.0,9.0,22.0,22.0,21.0
31,1.0,2.0,18.0,20.0,18.0,23.0,22.0,11.0,11.0,12.0,21.0,22.0,22.0,23.0,6.0,5.0,4.0,7.0,22.0,21.0,23.0
32,4.0,2.0,16.0,19.0,17.0,24.0,22.0,10.0,11.0,12.0,22.0,22.0,22.0,24.0,7.0,6.0,5.0,5.0,22.0,20.0,22.0
33,11.0,10.0,15.0,12.0,13.0,22.0,21.0,17.0,16.0,17.0,16.0,17.0,16.0,22.0,23.0,14.0,9.0,8.0,10.0,13.0,12.0
34,1.0,2.0,18.0,21.0,16.0,23.0,23.0,11.0,11.0,12.0,21.0,22.0,22.0,24.0,5.0,6.0,5.0,5.0,23.0,22.0,21.0
35,0.0,0.0,21.0,19.0,20.0,22.0,22.0,9.0,13.0,14.0,21.0,21.0,21.0,21.0,2.0,4.0,5.0,11.0,21.0,23.0,24.0
36,0.0,1.0,21.0,20.0,19.0,21.0,22.0,11.0,11.0,12.0,22.0,21.0,22.0,22.0,6.0,7.0,4.0,4.0,23.0,22.0,23.0
37,2.0,1.0,18.0,19.0,17.0,23.0,24.0,11.0,9.0,12.0,23.0,21.0,23.0,22.0,11.0,2.0,3.0,6.0,23.0,22.0,22.0
38,1.0,0.0,20.0,18.0,21.0,22.0,22.0,12.0,11.0,12.0,22.0,22.0,20.0,23.0,6.0,3.0,4.0,7.0,22.0,23.0,23.0
39,1.0,1.0,17.0,20.0,18.0,23.0,24.0,8.0,11.0,12.0,23.0,23.0,22.0,23.0,5.0,5.0,5.0,7.0,24.0,18.0,24.0
40,0.0,1.0,20.0,20.0,20.0,22.0,21.0,12.0,12.0,12.0,21.0,21.0,21.0,23.0,5.0,4.0,4.0,9.0,20.0,22.0,24.0
41,6.0,6.0,15.0,5.0,24.0,24.0,24.0,23.0,10.0,9.0,24.0,23.0,10.0,24.0,15.0,4.0,2.0,12.0,15.0,24.0,15.0
42,11.0,9.0,13.0,13.0,12.0,23.0,23.0,21.0,16.0,16.0,19.0,13.0,14.0,23.0,21.0,11.0,9.0,11.0,9.0,15.0,12.0
43,2.0,2.0,17.0,18.0,19.0,23.0,23.0,12.0,11.0,12.0,21.0,21.0,22.0,22.0,6.0,4.0,6.0,8.0,23.0,20.0,22.0
44,1.0,1.0,18.0,19.0,18.0,23.0,24.0,9.0,10.0,12.0,23.0,23.0,22.0,22.0,15.0,3.0,6.0,6.0,20.0,20.0,19.0
45,0.0,1.0,21.0,17.0,19.0,23.0,23.0,11.0,10.0,11.0,21.0,23.0,23.0,24.0,5.0,4.0,4.0,10.0,21.0,24.0,19.0
46,9.0,8.0,17.0,16.0,15.0,19.0,20.0,14.0,14.0,13.0,18.0,20.0,20.0,18.0,12.0,9.0,9.0,10.0,18.0,18.0,17.0
47,1.0,1.0,15.0,19.0,21.0,23.0,24.0,9.0,10.0,13.0,23.0,22.0,22.0,21.0,12.0,3.0,3.0,4.0,23.0,21.0,24.0
48,1.0,2.0,18.0,18.0,17.0,24.0,24.0,5.0,11.0,14.0,24.0,22.0,23.0,22.0,12.0,4.0,5.0,5.0,19.0,23.0,21.0
49,3.0,2.0,18.0,19.0,17.0,22.0,23.0,11.0,10.0,12.0,22.0,22.0,22.0,23.0,9.0,4.0,3.0,7.0,22.0,21.0,22.0
50,5.0,4.0,10.0,20.0,17.0,24.0,24.0,12.0,12.0,13.0,18.0,23.0,21.0,24.0,10.0,7.0,6.0,7.0,24.0,11.0,22.0
51,2.0,1.0,15.0,19.0,20.0,24.0,23.0,12.0,9.0,13.0,22.0,22.0,21.0,23.0,9.0,7.0,7.0,6.0,19.0,20.0,20.0
52,10.0,10.0,16.0,11.0,13.0,22.0,22.0,17.0,16.0,17.0,16.0,16.0,17.0,22.0,23.0,13.0,10.0,9.0,11.0,12.0,11.0
53,1.0,1.0,16.0,19.0,20.0,24.0,23.0,10.0,8.0,13.0,24.0,22.0,22.0,22.0,7.0,5.0,5.0,5.0,22.0,22.0,23.0
54,1.0,2.0,19.0,16.0,20.0,23.0,23.0,11.0,13.0,15.0,19.0,20.0,21.0,24.0,10.0,5.0,7.0,7.0,23.0,17.0,18.0
55,10.0,10.0,15.0,11.0,14.0,22.0,22.0,20.0,16.0,15.0,18.0,17.0,13.0,21.0,20.0,13.0,8.0,9.0,11.0,14.0,15.0
56,7.0,11.0,16.0,17.0,14.0,20.0,19.0,14.0,14.0,15.0,19.0,19.0,18.0,18.0,11.0,11.0,10.0,9.0,18.0,17.0,17.0
57,5.0,1.0,17.0,16.0,19.0,23.0,23.0,12.0,14.0,13.0,21.0,20.0,19.0,21.0,12.0,7.0,6.0,5.0,21.0,20.0,19.0
58,6.0,5.0,14.0,15.0,17.0,24.0,23.0,15.0,14.0,13.0,19.0,20.0,18.0,23.0,11.0,8.0,7.0,8.0,17.0,18.0,19.0
59,14.0,14.0,15.0,15.0,14.0,16.0,16.0,17.0,16.0,17.0,16.0,16.0,17.0,16.0,15.0,14.0,13.0,13.0,12.0,13.0,15.0
60,1.0,0.0,19.0,20.0,20.0,22.0,22.0,10.0,13.0,13.0,21.0,20.0,22.0,21.0,5.0,5.0,5.0,7.0,23.0,22.0,23.0
61,12.0,12.0,15.0,16.0,15.0,17.0,17.0,16.0,16.0,16.0,17.0,17.0,17.0,17.0,14.0,14.0,13.0,13.0,12.0,14.0,14.0
62,2.0,2.0,18.0,19.0,18.0,22.0,23.0,11.0,13.0,14.0,20.0,20.0,21.0,21.0,9.0,7.0,6.0,7.0,21.0,19.0,21.0
63,11.0,9.0,16.0,9.0,15.0,22.0,22.0,18.0,15.0,17.0,19.0,16.0,14.0,20.0,21.0,15.0,11.0,10.0,9.0,12.0,13.0
64,14.0,10.0,14.0,14.0,15.0,19.0,18.0,18.0,14.0,16.0,18.0,17.0,16.0,20.0,15.0,13.0,8.0,12.0,15.0,12.0,16.0
65,1.0,1.0,20.0,17.0,20.0,23.0,22.0,11.0,12.0,12.0,21.0,21.0,22.0,23.0,5.0,4.0,1.0,9.0,23.0,23.0,23.0
