,0
0,18
1,32
2,42
3,51
4,59
5,67
6,64
7,81
8,74
9,71
10,74
11,82
12,84
13,94
14,86
15,82
16,87
17,88
18,93
19,103
20,100
21,98
22,101
23,105
24,110
25,108
26,115
27,120
28,124
29,129
30,136
31,131
32,135
33,137
34,140
35,144
36,147
37,152
38,161
39,158
40,156
41,158
42,159
43,162
44,170
45,178
46,185
47,187
48,187
49,188
50,182
51,176
52,163
53,161
54,165
55,168
56,160
57,165
58,167
59,170
60,175
61,176
62,179
63,176
64,180
65,182
66,184
67,184
68,187
69,188
70,192
71,196
72,197
73,196
74,195
75,198
76,202
77,202
78,203
79,204
80,206
81,211
82,213
83,215
84,215
85,212
86,218
87,220
88,225
89,224
90,225
91,227
92,224
93,226
94,231
95,231
96,236
97,237
98,237
99,241
100,247
101,247
102,249
103,251
104,254
105,254
106,243
107,242
108,245
109,248
110,253
111,257
112,258
113,256
114,260
115,262
116,262
117,263
118,267
119,263
120,257
121,259
122,260
123,260
124,262
125,261
126,262
127,263
128,264
129,265
130,268
131,268
132,264
133,266
134,264
135,264
136,265
137,266
138,268
139,273
140,276
141,278
142,276
143,276
144,276
145,270
146,270
147,272
148,271
149,272
150,273
151,275
152,272
153,275
154,271
155,270
156,271
157,272
158,274
159,276
160,273
161,277
162,278
163,276
164,273
165,276
166,278
167,278
168,279
169,280
170,283
171,288
172,291
173,294
174,295
175,286
176,284
177,285
178,289
179,292
180,294
181,296
182,296
183,297
184,297
185,301
186,300
187,292
188,294
189,295
190,298
191,301
192,298
193,296
194,298
195,301
196,301
197,303
198,303
199,303
200,305
201,300
202,296
203,298
204,296
205,294
206,295
207,296
208,292
209,289
210,289
211,291
212,286
213,286
214,286
215,289
216,291
217,291
218,291
219,293
220,294
221,295
222,294
223,293
224,293
225,294
226,297
227,299
228,294
229,300
230,299
231,300
232,301
233,305
234,307
235,306
236,307
237,298
238,300
239,302
240,302
241,303
242,303
243,303
244,303
245,302
246,303
247,296
248,300
249,301
250,301
251,301
252,302
253,303
254,305
255,303
256,303
257,303
258,305
259,304
260,304
261,301
262,303
263,302
264,307
265,308
266,309
267,308
268,308
269,308
270,310
271,308
272,308
273,308
274,308
275,308
276,308
277,312
278,309
279,311
280,297
281,297
282,300
283,304
284,306
285,307
286,308
287,310
288,312
289,312
290,312
291,312
292,314
293,314
294,312
295,311
296,311
297,313
298,311
299,312
