,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,4.0,6.0,15.0,17.0,15.0,24.0,23.0,19.0,15.0,9.0,21.0,21.0,14.0,22.0,10.0,8.0,3.0,11.0,17.0,20.0,20.0
1,2.0,5.0,19.0,15.0,15.0,24.0,24.0,9.0,16.0,7.0,24.0,20.0,23.0,24.0,11.0,8.0,6.0,7.0,13.0,19.0,23.0
2,1.0,3.0,20.0,15.0,20.0,22.0,23.0,9.0,10.0,8.0,24.0,24.0,24.0,24.0,11.0,5.0,3.0,3.0,24.0,17.0,24.0
3,17.0,11.0,8.0,17.0,12.0,18.0,21.0,20.0,14.0,15.0,18.0,14.0,18.0,24.0,22.0,10.0,6.0,9.0,17.0,12.0,11.0
4,17.0,14.0,5.0,12.0,8.0,24.0,24.0,12.0,14.0,12.0,24.0,14.0,23.0,24.0,24.0,24.0,10.0,7.0,7.0,10.0,5.0
5,2.0,4.0,16.0,23.0,13.0,24.0,22.0,15.0,14.0,10.0,21.0,19.0,20.0,24.0,14.0,6.0,9.0,10.0,14.0,13.0,21.0
6,11.0,6.0,7.0,17.0,15.0,24.0,24.0,24.0,16.0,13.0,15.0,16.0,15.0,24.0,24.0,7.0,10.0,8.0,18.0,9.0,11.0
7,11.0,4.0,14.0,12.0,18.0,21.0,24.0,16.0,9.0,13.0,20.0,19.0,22.0,24.0,6.0,10.0,4.0,11.0,16.0,19.0,21.0
8,9.0,7.0,12.0,14.0,15.0,24.0,23.0,19.0,15.0,17.0,18.0,10.0,20.0,24.0,24.0,6.0,9.0,8.0,12.0,19.0,9.0
9,4.0,4.0,16.0,19.0,14.0,23.0,24.0,10.0,11.0,11.0,20.0,23.0,24.0,19.0,14.0,9.0,7.0,9.0,19.0,14.0,20.0
10,5.0,5.0,17.0,15.0,17.0,24.0,21.0,9.0,14.0,14.0,24.0,18.0,20.0,24.0,8.0,7.0,12.0,4.0,20.0,22.0,14.0
11,4.0,6.0,13.0,16.0,17.0,24.0,24.0,18.0,6.0,13.0,22.0,21.0,19.0,22.0,10.0,10.0,4.0,13.0,14.0,19.0,19.0
12,3.0,6.0,16.0,18.0,14.0,23.0,24.0,9.0,12.0,12.0,23.0,19.0,24.0,24.0,8.0,8.0,7.0,6.0,21.0,18.0,19.0
13,14.0,16.0,10.0,8.0,8.0,24.0,24.0,12.0,9.0,13.0,22.0,20.0,23.0,24.0,24.0,24.0,14.0,9.0,4.0,9.0,3.0
14,6.0,4.0,12.0,20.0,14.0,24.0,24.0,14.0,15.0,14.0,14.0,21.0,21.0,24.0,16.0,13.0,3.0,9.0,22.0,13.0,11.0
15,6.0,14.0,6.0,13.0,17.0,24.0,24.0,19.0,13.0,10.0,21.0,20.0,16.0,24.0,21.0,13.0,6.0,13.0,14.0,10.0,10.0
16,2.0,12.0,19.0,18.0,14.0,21.0,18.0,12.0,10.0,17.0,21.0,19.0,20.0,22.0,3.0,14.0,8.0,7.0,18.0,18.0,21.0
17,3.0,3.0,16.0,17.0,18.0,24.0,23.0,12.0,12.0,9.0,24.0,20.0,22.0,19.0,9.0,8.0,6.0,5.0,24.0,21.0,19.0
18,8.0,12.0,12.0,14.0,16.0,18.0,24.0,18.0,15.0,14.0,21.0,16.0,15.0,21.0,20.0,3.0,8.0,13.0,16.0,15.0,15.0
19,3.0,5.0,24.0,8.0,16.0,24.0,24.0,22.0,8.0,9.0,17.0,24.0,19.0,24.0,20.0,6.0,3.0,6.0,12.0,20.0,20.0
20,7.0,6.0,16.0,16.0,11.0,24.0,24.0,13.0,13.0,15.0,24.0,12.0,22.0,24.0,21.0,13.0,4.0,7.0,14.0,16.0,12.0
21,4.0,4.0,16.0,10.0,22.0,24.0,24.0,13.0,12.0,19.0,16.0,20.0,19.0,24.0,20.0,6.0,7.0,4.0,15.0,23.0,12.0
22,6.0,5.0,17.0,9.0,19.0,24.0,24.0,10.0,18.0,9.0,22.0,21.0,19.0,24.0,14.0,10.0,4.0,8.0,16.0,14.0,21.0
23,8.0,4.0,17.0,14.0,17.0,24.0,20.0,12.0,14.0,13.0,17.0,20.0,23.0,21.0,10.0,2.0,3.0,16.0,21.0,20.0,18.0
24,7.0,0.0,19.0,17.0,19.0,21.0,21.0,10.0,6.0,18.0,17.0,24.0,24.0,19.0,11.0,3.0,5.0,11.0,20.0,20.0,22.0
25,17.0,6.0,12.0,11.0,15.0,21.0,22.0,18.0,12.0,17.0,17.0,16.0,19.0,19.0,18.0,11.0,6.0,9.0,20.0,15.0,13.0
26,3.0,6.0,16.0,16.0,15.0,24.0,24.0,15.0,19.0,19.0,13.0,16.0,17.0,20.0,11.0,18.0,14.0,6.0,14.0,15.0,13.0
27,14.0,3.0,11.0,21.0,16.0,21.0,18.0,16.0,17.0,14.0,18.0,15.0,19.0,18.0,13.0,8.0,10.0,2.0,19.0,20.0,21.0
28,8.0,11.0,18.0,17.0,16.0,19.0,15.0,18.0,14.0,16.0,15.0,20.0,16.0,15.0,17.0,17.0,14.0,18.0,14.0,8.0,8.0
29,4.0,8.0,24.0,8.0,12.0,24.0,24.0,13.0,11.0,6.0,24.0,24.0,21.0,24.0,13.0,9.0,6.0,10.0,10.0,24.0,15.0
30,4.0,1.0,20.0,21.0,11.0,23.0,24.0,12.0,13.0,12.0,18.0,20.0,24.0,24.0,2.0,11.0,5.0,8.0,23.0,17.0,21.0
31,9.0,4.0,17.0,13.0,17.0,24.0,20.0,11.0,18.0,16.0,16.0,18.0,20.0,18.0,13.0,5.0,12.0,5.0,20.0,18.0,20.0
32,10.0,12.0,15.0,10.0,10.0,24.0,23.0,23.0,16.0,12.0,15.0,15.0,18.0,24.0,17.0,8.0,11.0,9.0,7.0,17.0,18.0
33,13.0,10.0,10.0,11.0,12.0,24.0,24.0,15.0,15.0,18.0,18.0,16.0,17.0,20.0,21.0,15.0,9.0,16.0,12.0,6.0,12.0
34,8.0,4.0,17.0,14.0,16.0,22.0,23.0,19.0,16.0,12.0,17.0,17.0,18.0,17.0,16.0,13.0,5.0,7.0,11.0,22.0,20.0
35,8.0,6.0,12.0,16.0,14.0,24.0,24.0,10.0,10.0,7.0,24.0,24.0,24.0,24.0,24.0,8.0,10.0,5.0,14.0,12.0,14.0
36,12.0,9.0,11.0,11.0,14.0,24.0,23.0,19.0,9.0,17.0,19.0,20.0,15.0,24.0,21.0,13.0,6.0,6.0,15.0,12.0,14.0
37,12.0,5.0,12.0,18.0,9.0,24.0,24.0,10.0,16.0,12.0,18.0,19.0,24.0,24.0,22.0,18.0,6.0,10.0,13.0,9.0,9.0
38,7.0,9.0,17.0,13.0,17.0,17.0,24.0,21.0,16.0,16.0,16.0,13.0,17.0,19.0,22.0,14.0,15.0,16.0,8.0,10.0,7.0
39,3.0,7.0,16.0,14.0,16.0,24.0,24.0,11.0,18.0,7.0,24.0,15.0,24.0,24.0,23.0,15.0,2.0,7.0,10.0,19.0,11.0
