,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,14.0,12.0,14.0,10.0,14.0,16.0,17.0,14.0,9.0,11.0,14.0,18.0,19.0,16.0,12.0,12.0,12.0,16.0,15.0,19.0,14.0,17.0,16.0,15.0,9.0,11.0,21.0,19.0,12.0,19.0
1,13.0,24.0,13.0,11.0,11.0,13.0,11.0,15.0,14.0,3.0,6.0,19.0,17.0,19.0,18.0,15.0,24.0,24.0,19.0,14.0,4.0,8.0,16.0,17.0,16.0,13.0,20.0,11.0,11.0,18.0
2,9.0,13.0,17.0,13.0,11.0,13.0,18.0,17.0,2.0,0.0,14.0,21.0,22.0,20.0,16.0,16.0,21.0,23.0,18.0,17.0,9.0,9.0,12.0,4.0,8.0,15.0,17.0,17.0,21.0,24.0
3,15.0,12.0,7.0,11.0,9.0,24.0,16.0,17.0,3.0,1.0,9.0,24.0,20.0,22.0,11.0,21.0,22.0,22.0,24.0,7.0,12.0,13.0,9.0,10.0,10.0,10.0,16.0,12.0,24.0,24.0
4,24.0,5.0,6.0,8.0,5.0,20.0,24.0,19.0,11.0,3.0,18.0,21.0,24.0,14.0,9.0,11.0,17.0,23.0,23.0,10.0,12.0,9.0,15.0,6.0,5.0,10.0,24.0,23.0,17.0,21.0
5,16.0,10.0,10.0,13.0,8.0,14.0,24.0,16.0,7.0,11.0,14.0,17.0,19.0,14.0,10.0,19.0,24.0,24.0,22.0,11.0,11.0,6.0,11.0,5.0,7.0,7.0,22.0,20.0,21.0,24.0
6,17.0,20.0,12.0,0.0,8.0,20.0,15.0,19.0,1.0,4.0,5.0,22.0,22.0,24.0,18.0,15.0,24.0,24.0,20.0,14.0,14.0,9.0,4.0,7.0,15.0,14.0,12.0,18.0,16.0,24.0
7,21.0,7.0,10.0,1.0,11.0,19.0,21.0,21.0,9.0,0.0,20.0,15.0,20.0,9.0,19.0,19.0,23.0,24.0,18.0,16.0,16.0,8.0,4.0,5.0,13.0,12.0,17.0,22.0,19.0,18.0
8,15.0,11.0,15.0,4.0,15.0,24.0,9.0,18.0,8.0,13.0,15.0,19.0,17.0,11.0,14.0,14.0,19.0,16.0,19.0,15.0,16.0,13.0,11.0,15.0,8.0,16.0,19.0,18.0,11.0,19.0
9,22.0,9.0,2.0,11.0,15.0,20.0,22.0,10.0,2.0,3.0,12.0,20.0,23.0,16.0,16.0,19.0,20.0,24.0,20.0,15.0,8.0,13.0,9.0,17.0,10.0,11.0,12.0,14.0,18.0,24.0
10,17.0,18.0,12.0,7.0,9.0,18.0,17.0,13.0,1.0,6.0,12.0,19.0,15.0,19.0,19.0,20.0,20.0,23.0,18.0,9.0,18.0,8.0,13.0,8.0,7.0,4.0,19.0,22.0,22.0,24.0
11,17.0,17.0,10.0,1.0,9.0,24.0,14.0,19.0,1.0,4.0,6.0,24.0,19.0,24.0,15.0,18.0,24.0,23.0,18.0,11.0,13.0,16.0,4.0,10.0,16.0,12.0,10.0,20.0,14.0,24.0
12,15.0,13.0,9.0,12.0,17.0,13.0,17.0,15.0,13.0,10.0,12.0,19.0,14.0,14.0,21.0,8.0,18.0,15.0,19.0,13.0,15.0,10.0,19.0,9.0,11.0,15.0,18.0,16.0,15.0,22.0
13,13.0,13.0,5.0,16.0,9.0,24.0,14.0,17.0,13.0,10.0,13.0,19.0,17.0,7.0,17.0,15.0,22.0,21.0,20.0,20.0,8.0,8.0,10.0,9.0,10.0,14.0,19.0,19.0,18.0,17.0
14,21.0,14.0,15.0,6.0,11.0,12.0,15.0,17.0,7.0,7.0,19.0,13.0,24.0,16.0,10.0,15.0,19.0,18.0,17.0,14.0,16.0,11.0,14.0,7.0,18.0,10.0,18.0,22.0,13.0,18.0
15,17.0,15.0,13.0,11.0,15.0,16.0,16.0,8.0,11.0,6.0,20.0,15.0,14.0,14.0,19.0,12.0,18.0,21.0,13.0,14.0,16.0,17.0,10.0,15.0,13.0,17.0,19.0,7.0,20.0,15.0
16,18.0,5.0,13.0,11.0,12.0,19.0,22.0,11.0,2.0,2.0,5.0,24.0,24.0,19.0,21.0,14.0,24.0,24.0,24.0,14.0,13.0,5.0,5.0,4.0,8.0,0.0,24.0,24.0,24.0,22.0
17,13.0,14.0,13.0,4.0,13.0,18.0,19.0,17.0,6.0,4.0,16.0,22.0,24.0,12.0,17.0,10.0,24.0,21.0,20.0,15.0,9.0,10.0,10.0,10.0,4.0,12.0,18.0,18.0,20.0,24.0
18,18.0,10.0,14.0,10.0,12.0,19.0,14.0,14.0,5.0,18.0,13.0,19.0,14.0,12.0,14.0,16.0,13.0,21.0,18.0,12.0,15.0,14.0,16.0,18.0,8.0,13.0,18.0,14.0,11.0,24.0
19,14.0,13.0,11.0,11.0,9.0,18.0,17.0,18.0,11.0,11.0,10.0,15.0,14.0,19.0,17.0,14.0,24.0,24.0,19.0,12.0,9.0,8.0,13.0,15.0,9.0,10.0,20.0,15.0,13.0,24.0
20,20.0,9.0,7.0,12.0,2.0,19.0,18.0,24.0,9.0,0.0,14.0,22.0,24.0,15.0,14.0,13.0,24.0,20.0,18.0,13.0,15.0,12.0,7.0,15.0,9.0,8.0,18.0,19.0,20.0,17.0
21,17.0,17.0,3.0,5.0,8.0,22.0,18.0,21.0,3.0,9.0,16.0,24.0,20.0,7.0,15.0,17.0,24.0,24.0,21.0,14.0,8.0,7.0,11.0,7.0,12.0,16.0,18.0,15.0,18.0,20.0
22,16.0,9.0,12.0,7.0,12.0,21.0,14.0,20.0,2.0,2.0,20.0,14.0,24.0,20.0,17.0,12.0,24.0,24.0,18.0,16.0,8.0,9.0,10.0,5.0,4.0,3.0,24.0,24.0,24.0,22.0
23,17.0,10.0,9.0,4.0,10.0,19.0,21.0,21.0,6.0,10.0,19.0,14.0,24.0,11.0,9.0,18.0,20.0,24.0,22.0,15.0,9.0,11.0,8.0,8.0,7.0,7.0,19.0,24.0,17.0,24.0
24,13.0,13.0,15.0,8.0,3.0,22.0,24.0,13.0,2.0,1.0,17.0,22.0,24.0,19.0,9.0,17.0,24.0,24.0,22.0,13.0,7.0,9.0,10.0,2.0,11.0,6.0,19.0,20.0,24.0,24.0
25,18.0,8.0,9.0,11.0,4.0,18.0,24.0,19.0,13.0,3.0,12.0,17.0,21.0,14.0,14.0,17.0,24.0,14.0,18.0,18.0,12.0,8.0,15.0,13.0,12.0,14.0,15.0,19.0,17.0,16.0
26,22.0,15.0,6.0,5.0,1.0,22.0,18.0,22.0,1.0,2.0,11.0,21.0,19.0,20.0,18.0,19.0,24.0,24.0,12.0,11.0,13.0,16.0,9.0,15.0,4.0,5.0,21.0,24.0,14.0,23.0
27,11.0,14.0,8.0,7.0,12.0,16.0,19.0,24.0,2.0,1.0,20.0,19.0,15.0,15.0,21.0,18.0,22.0,21.0,18.0,12.0,19.0,9.0,8.0,3.0,10.0,17.0,18.0,18.0,18.0,22.0
28,18.0,5.0,5.0,6.0,8.0,24.0,21.0,24.0,3.0,2.0,7.0,24.0,16.0,24.0,21.0,14.0,24.0,24.0,24.0,14.0,8.0,8.0,7.0,14.0,10.0,10.0,24.0,12.0,12.0,24.0
29,13.0,9.0,8.0,8.0,8.0,24.0,22.0,19.0,13.0,2.0,15.0,20.0,20.0,14.0,14.0,13.0,24.0,21.0,20.0,16.0,10.0,5.0,13.0,13.0,2.0,9.0,19.0,19.0,22.0,22.0
30,18.0,8.0,6.0,3.0,5.0,24.0,24.0,23.0,6.0,3.0,16.0,18.0,24.0,15.0,11.0,18.0,21.0,20.0,24.0,15.0,6.0,15.0,8.0,3.0,2.0,8.0,24.0,23.0,24.0,22.0
31,23.0,12.0,6.0,7.0,8.0,24.0,9.0,22.0,5.0,2.0,12.0,22.0,19.0,19.0,15.0,17.0,22.0,24.0,17.0,10.0,15.0,9.0,12.0,9.0,12.0,6.0,18.0,24.0,13.0,24.0
32,21.0,11.0,6.0,10.0,5.0,17.0,24.0,17.0,6.0,3.0,15.0,22.0,24.0,12.0,12.0,17.0,21.0,24.0,21.0,16.0,9.0,8.0,10.0,9.0,15.0,9.0,15.0,20.0,16.0,22.0
33,20.0,3.0,12.0,9.0,5.0,21.0,21.0,20.0,7.0,10.0,17.0,17.0,18.0,21.0,7.0,14.0,16.0,24.0,18.0,11.0,16.0,9.0,15.0,6.0,7.0,3.0,21.0,21.0,24.0,24.0
34,17.0,12.0,10.0,10.0,6.0,14.0,24.0,18.0,1.0,1.0,13.0,22.0,20.0,20.0,18.0,16.0,24.0,22.0,13.0,12.0,12.0,12.0,14.0,11.0,10.0,5.0,15.0,24.0,17.0,24.0
35,19.0,4.0,7.0,14.0,15.0,12.0,20.0,20.0,6.0,16.0,16.0,17.0,16.0,12.0,16.0,12.0,19.0,13.0,21.0,9.0,16.0,19.0,12.0,9.0,16.0,13.0,18.0,14.0,12.0,24.0
36,16.0,17.0,10.0,13.0,4.0,17.0,15.0,19.0,2.0,9.0,8.0,23.0,19.0,16.0,21.0,13.0,20.0,22.0,13.0,9.0,16.0,13.0,16.0,15.0,14.0,9.0,11.0,20.0,13.0,24.0
37,19.0,9.0,1.0,9.0,12.0,23.0,21.0,17.0,2.0,6.0,16.0,22.0,24.0,19.0,9.0,13.0,23.0,24.0,22.0,15.0,9.0,10.0,6.0,9.0,9.0,4.0,17.0,19.0,24.0,24.0
38,17.0,1.0,3.0,5.0,15.0,23.0,23.0,24.0,8.0,2.0,23.0,24.0,21.0,16.0,13.0,4.0,24.0,24.0,22.0,7.0,13.0,13.0,6.0,10.0,8.0,7.0,19.0,19.0,19.0,24.0
39,21.0,16.0,1.0,12.0,6.0,22.0,17.0,16.0,7.0,10.0,17.0,19.0,19.0,17.0,13.0,9.0,24.0,18.0,18.0,6.0,16.0,13.0,14.0,17.0,18.0,5.0,17.0,12.0,17.0,20.0
40,22.0,14.0,11.0,9.0,9.0,18.0,14.0,14.0,1.0,15.0,16.0,15.0,22.0,15.0,17.0,10.0,16.0,24.0,18.0,11.0,10.0,13.0,17.0,8.0,15.0,10.0,21.0,15.0,13.0,24.0
41,15.0,15.0,13.0,11.0,1.0,19.0,17.0,20.0,7.0,7.0,14.0,15.0,22.0,12.0,18.0,16.0,24.0,19.0,21.0,14.0,8.0,7.0,16.0,15.0,7.0,10.0,20.0,20.0,19.0,15.0
42,13.0,14.0,15.0,3.0,12.0,18.0,15.0,21.0,9.0,8.0,9.0,24.0,18.0,14.0,15.0,14.0,20.0,22.0,19.0,18.0,9.0,13.0,8.0,9.0,11.0,9.0,15.0,21.0,20.0,21.0
43,24.0,17.0,15.0,5.0,3.0,15.0,14.0,18.0,1.0,1.0,7.0,21.0,20.0,20.0,18.0,23.0,21.0,24.0,24.0,10.0,9.0,7.0,14.0,6.0,7.0,5.0,24.0,24.0,16.0,24.0
44,23.0,11.0,13.0,11.0,6.0,16.0,10.0,21.0,1.0,3.0,2.0,19.0,24.0,24.0,20.0,18.0,24.0,22.0,16.0,12.0,9.0,9.0,17.0,10.0,10.0,5.0,24.0,24.0,9.0,24.0
45,13.0,12.0,12.0,9.0,15.0,18.0,24.0,8.0,0.0,3.0,14.0,20.0,16.0,18.0,20.0,20.0,19.0,20.0,15.0,12.0,19.0,16.0,8.0,10.0,14.0,14.0,12.0,13.0,24.0,19.0
46,22.0,11.0,9.0,4.0,4.0,20.0,23.0,18.0,8.0,1.0,19.0,17.0,16.0,17.0,12.0,21.0,21.0,20.0,16.0,11.0,11.0,11.0,19.0,9.0,6.0,4.0,18.0,22.0,23.0,24.0
47,17.0,13.0,10.0,10.0,5.0,23.0,18.0,15.0,10.0,6.0,16.0,24.0,16.0,18.0,15.0,6.0,21.0,19.0,20.0,12.0,16.0,12.0,9.0,10.0,10.0,13.0,20.0,20.0,20.0,13.0
48,18.0,8.0,9.0,6.0,6.0,23.0,24.0,17.0,4.0,3.0,14.0,22.0,24.0,21.0,12.0,11.0,24.0,24.0,24.0,15.0,6.0,7.0,9.0,14.0,5.0,8.0,17.0,24.0,19.0,19.0
49,15.0,11.0,4.0,11.0,18.0,17.0,21.0,14.0,8.0,12.0,9.0,17.0,13.0,18.0,16.0,18.0,19.0,18.0,14.0,13.0,17.0,14.0,14.0,19.0,15.0,3.0,20.0,18.0,10.0,21.0
50,19.0,24.0,6.0,18.0,6.0,5.0,18.0,15.0,2.0,0.0,2.0,24.0,21.0,22.0,19.0,21.0,24.0,24.0,11.0,15.0,6.0,20.0,9.0,17.0,5.0,13.0,21.0,15.0,11.0,24.0
51,20.0,15.0,12.0,11.0,12.0,12.0,16.0,13.0,3.0,2.0,8.0,22.0,15.0,20.0,17.0,24.0,24.0,24.0,13.0,14.0,9.0,16.0,9.0,7.0,7.0,9.0,20.0,16.0,23.0,24.0
52,22.0,6.0,12.0,11.0,4.0,15.0,21.0,20.0,7.0,13.0,13.0,16.0,18.0,11.0,15.0,18.0,24.0,24.0,22.0,14.0,10.0,6.0,9.0,15.0,5.0,4.0,19.0,21.0,20.0,22.0
53,15.0,12.0,9.0,11.0,10.0,18.0,17.0,19.0,5.0,8.0,10.0,20.0,22.0,17.0,17.0,12.0,24.0,19.0,17.0,10.0,13.0,18.0,8.0,13.0,15.0,10.0,17.0,15.0,18.0,18.0
54,23.0,8.0,5.0,12.0,4.0,23.0,19.0,17.0,13.0,9.0,14.0,20.0,15.0,11.0,12.0,17.0,23.0,24.0,22.0,14.0,10.0,6.0,10.0,15.0,1.0,5.0,22.0,21.0,22.0,20.0
55,17.0,18.0,6.0,11.0,11.0,15.0,15.0,18.0,1.0,18.0,16.0,20.0,19.0,15.0,7.0,15.0,18.0,21.0,17.0,14.0,16.0,15.0,8.0,18.0,7.0,11.0,20.0,19.0,14.0,17.0
56,17.0,8.0,3.0,6.0,6.0,24.0,23.0,24.0,6.0,1.0,20.0,17.0,23.0,14.0,15.0,15.0,23.0,24.0,17.0,12.0,13.0,12.0,8.0,4.0,6.0,7.0,24.0,19.0,22.0,24.0
57,15.0,11.0,4.0,5.0,15.0,21.0,16.0,24.0,7.0,1.0,19.0,19.0,17.0,17.0,16.0,15.0,20.0,20.0,11.0,17.0,14.0,16.0,11.0,10.0,15.0,8.0,22.0,19.0,15.0,17.0
58,24.0,11.0,6.0,9.0,5.0,17.0,15.0,24.0,1.0,1.0,9.0,24.0,18.0,24.0,21.0,13.0,24.0,24.0,15.0,9.0,11.0,9.0,17.0,6.0,11.0,8.0,24.0,24.0,9.0,24.0
59,24.0,11.0,15.0,9.0,5.0,19.0,13.0,15.0,1.0,1.0,17.0,24.0,18.0,15.0,17.0,18.0,24.0,21.0,16.0,13.0,10.0,7.0,18.0,7.0,8.0,7.0,17.0,19.0,24.0,24.0
60,15.0,6.0,13.0,8.0,13.0,21.0,19.0,16.0,4.0,2.0,8.0,18.0,21.0,16.0,18.0,24.0,22.0,21.0,21.0,23.0,3.0,17.0,2.0,11.0,8.0,9.0,22.0,14.0,18.0,24.0
61,21.0,2.0,7.0,13.0,13.0,19.0,16.0,20.0,8.0,14.0,12.0,17.0,21.0,16.0,10.0,13.0,13.0,19.0,20.0,21.0,13.0,9.0,14.0,6.0,12.0,10.0,21.0,14.0,19.0,24.0
62,24.0,16.0,5.0,7.0,10.0,16.0,14.0,19.0,6.0,11.0,11.0,17.0,16.0,20.0,15.0,15.0,22.0,18.0,21.0,12.0,11.0,9.0,16.0,6.0,19.0,4.0,16.0,22.0,19.0,20.0
63,24.0,9.0,7.0,11.0,3.0,20.0,24.0,13.0,2.0,3.0,20.0,19.0,17.0,17.0,20.0,13.0,24.0,21.0,23.0,12.0,12.0,13.0,4.0,6.0,6.0,10.0,17.0,21.0,22.0,24.0
64,17.0,14.0,3.0,8.0,14.0,20.0,21.0,14.0,15.0,1.0,16.0,13.0,18.0,16.0,18.0,14.0,24.0,23.0,17.0,11.0,15.0,9.0,10.0,9.0,11.0,11.0,16.0,19.0,24.0,16.0
65,18.0,15.0,5.0,5.0,13.0,19.0,16.0,20.0,2.0,1.0,13.0,18.0,14.0,21.0,19.0,23.0,17.0,24.0,12.0,11.0,10.0,16.0,19.0,17.0,15.0,2.0,18.0,17.0,22.0,15.0
66,22.0,9.0,4.0,0.0,11.0,18.0,23.0,24.0,4.0,4.0,16.0,24.0,22.0,10.0,17.0,14.0,24.0,24.0,24.0,6.0,14.0,4.0,13.0,5.0,10.0,5.0,18.0,24.0,20.0,24.0
67,18.0,14.0,8.0,6.0,19.0,19.0,10.0,17.0,3.0,4.0,17.0,20.0,18.0,19.0,12.0,18.0,19.0,21.0,24.0,15.0,8.0,14.0,8.0,10.0,16.0,3.0,15.0,20.0,20.0,22.0
68,24.0,7.0,8.0,12.0,10.0,14.0,24.0,12.0,0.0,0.0,18.0,23.0,21.0,17.0,17.0,15.0,24.0,23.0,23.0,7.0,16.0,9.0,7.0,7.0,9.0,8.0,18.0,16.0,24.0,24.0
69,19.0,21.0,5.0,4.0,7.0,20.0,21.0,14.0,1.0,6.0,20.0,20.0,16.0,13.0,19.0,16.0,22.0,21.0,19.0,6.0,14.0,12.0,15.0,12.0,13.0,15.0,15.0,21.0,15.0,15.0
70,17.0,7.0,6.0,15.0,7.0,19.0,24.0,16.0,2.0,2.0,14.0,23.0,22.0,16.0,16.0,16.0,18.0,22.0,20.0,12.0,12.0,11.0,14.0,14.0,7.0,11.0,14.0,21.0,15.0,24.0
71,22.0,9.0,6.0,7.0,9.0,18.0,24.0,16.0,1.0,15.0,17.0,18.0,19.0,15.0,9.0,17.0,19.0,24.0,20.0,14.0,15.0,6.0,11.0,14.0,7.0,15.0,14.0,16.0,20.0,20.0
72,23.0,10.0,17.0,2.0,3.0,20.0,22.0,14.0,4.0,4.0,24.0,20.0,19.0,10.0,12.0,18.0,19.0,24.0,19.0,4.0,16.0,12.0,15.0,6.0,9.0,4.0,20.0,22.0,21.0,24.0
73,16.0,3.0,20.0,8.0,11.0,20.0,19.0,14.0,12.0,12.0,13.0,19.0,13.0,18.0,11.0,13.0,24.0,16.0,14.0,18.0,10.0,15.0,12.0,14.0,12.0,4.0,18.0,18.0,17.0,23.0
74,19.0,9.0,3.0,9.0,3.0,24.0,24.0,20.0,10.0,7.0,20.0,16.0,22.0,13.0,19.0,4.0,19.0,24.0,24.0,5.0,13.0,16.0,8.0,5.0,7.0,5.0,24.0,24.0,17.0,24.0
75,17.0,14.0,14.0,6.0,4.0,13.0,23.0,20.0,2.0,3.0,15.0,17.0,24.0,20.0,16.0,14.0,22.0,19.0,21.0,16.0,7.0,16.0,8.0,3.0,10.0,10.0,23.0,17.0,19.0,24.0
76,20.0,5.0,7.0,3.0,11.0,23.0,24.0,18.0,2.0,0.0,20.0,19.0,15.0,17.0,16.0,22.0,20.0,24.0,24.0,15.0,10.0,8.0,8.0,8.0,3.0,10.0,24.0,17.0,20.0,24.0
77,15.0,12.0,1.0,20.0,9.0,20.0,18.0,16.0,7.0,1.0,10.0,19.0,17.0,19.0,18.0,20.0,24.0,23.0,19.0,13.0,14.0,10.0,6.0,17.0,11.0,10.0,18.0,20.0,12.0,18.0
78,21.0,4.0,5.0,4.0,8.0,24.0,21.0,24.0,5.0,10.0,24.0,21.0,11.0,12.0,10.0,18.0,24.0,24.0,24.0,11.0,10.0,8.0,8.0,11.0,5.0,2.0,22.0,18.0,24.0,24.0
79,16.0,10.0,5.0,10.0,5.0,21.0,20.0,24.0,5.0,3.0,13.0,17.0,24.0,16.0,18.0,15.0,19.0,21.0,18.0,14.0,11.0,16.0,10.0,8.0,7.0,13.0,20.0,13.0,22.0,23.0
80,23.0,10.0,8.0,10.0,6.0,17.0,17.0,20.0,16.0,1.0,17.0,18.0,18.0,18.0,15.0,8.0,22.0,21.0,21.0,13.0,9.0,12.0,11.0,11.0,9.0,20.0,16.0,12.0,20.0,18.0
81,19.0,9.0,10.0,7.0,6.0,19.0,23.0,18.0,9.0,9.0,20.0,16.0,14.0,13.0,18.0,12.0,24.0,15.0,17.0,15.0,12.0,14.0,12.0,12.0,17.0,11.0,18.0,20.0,15.0,13.0
82,19.0,0.0,10.0,3.0,16.0,24.0,17.0,22.0,5.0,4.0,16.0,19.0,20.0,15.0,15.0,17.0,20.0,24.0,24.0,13.0,7.0,17.0,4.0,7.0,9.0,7.0,15.0,24.0,20.0,24.0
83,20.0,9.0,6.0,11.0,9.0,19.0,19.0,18.0,2.0,14.0,18.0,19.0,20.0,14.0,10.0,14.0,23.0,24.0,19.0,11.0,7.0,14.0,11.0,8.0,8.0,12.0,12.0,24.0,22.0,20.0
84,21.0,13.0,4.0,7.0,5.0,24.0,21.0,16.0,9.0,4.0,18.0,23.0,12.0,11.0,19.0,15.0,24.0,24.0,20.0,9.0,7.0,14.0,11.0,17.0,10.0,7.0,17.0,17.0,18.0,20.0
85,14.0,8.0,14.0,5.0,9.0,24.0,18.0,19.0,2.0,0.0,5.0,24.0,22.0,24.0,19.0,15.0,20.0,19.0,24.0,24.0,3.0,12.0,7.0,13.0,13.0,6.0,13.0,20.0,17.0,24.0
86,18.0,6.0,12.0,10.0,10.0,18.0,20.0,17.0,3.0,2.0,7.0,17.0,24.0,15.0,24.0,19.0,24.0,24.0,24.0,15.0,10.0,7.0,5.0,7.0,11.0,11.0,16.0,16.0,24.0,21.0
87,17.0,7.0,5.0,13.0,6.0,24.0,22.0,17.0,10.0,8.0,17.0,18.0,18.0,15.0,18.0,7.0,24.0,21.0,22.0,11.0,11.0,9.0,11.0,2.0,3.0,18.0,20.0,24.0,18.0,21.0
