,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
0,15.0,10.0,7.0,10.0,21.0,21.0,19.0,8.0,13.0,6.0,13.0,19.0,19.0,15.0,16.0,5.0,8.0,17.0,16.0,16.0,16.0,17.0,17.0
1,15.0,17.0,17.0,4.0,15.0,17.0,18.0,6.0,8.0,9.0,12.0,14.0,17.0,21.0,22.0,12.0,8.0,14.0,17.0,17.0,14.0,16.0,14.0
2,23.0,9.0,13.0,9.0,13.0,21.0,15.0,15.0,11.0,15.0,14.0,7.0,14.0,14.0,19.0,5.0,11.0,4.0,4.0,24.0,16.0,24.0,24.0
3,17.0,18.0,13.0,10.0,12.0,17.0,16.0,7.0,15.0,13.0,15.0,14.0,10.0,16.0,19.0,6.0,10.0,7.0,6.0,21.0,20.0,18.0,24.0
4,9.0,19.0,13.0,9.0,18.0,17.0,18.0,2.0,11.0,6.0,19.0,20.0,16.0,15.0,20.0,5.0,11.0,12.0,17.0,19.0,19.0,13.0,16.0
5,24.0,15.0,16.0,13.0,13.0,11.0,11.0,13.0,12.0,8.0,12.0,8.0,15.0,19.0,22.0,7.0,7.0,11.0,8.0,18.0,13.0,24.0,24.0
6,13.0,16.0,4.0,18.0,14.0,17.0,21.0,1.0,17.0,4.0,19.0,14.0,13.0,20.0,21.0,4.0,12.0,17.0,11.0,16.0,18.0,20.0,14.0
7,18.0,7.0,11.0,7.0,19.0,20.0,21.0,12.0,7.0,9.0,13.0,15.0,13.0,18.0,22.0,4.0,17.0,2.0,4.0,19.0,19.0,24.0,23.0
8,8.0,11.0,10.0,13.0,23.0,18.0,20.0,4.0,5.0,2.0,19.0,19.0,19.0,23.0,18.0,0.0,21.0,2.0,9.0,21.0,21.0,18.0,20.0
9,22.0,10.0,13.0,10.0,20.0,14.0,14.0,10.0,13.0,6.0,6.0,15.0,14.0,21.0,24.0,4.0,14.0,7.0,10.0,20.0,9.0,24.0,24.0
10,15.0,13.0,13.0,14.0,14.0,17.0,17.0,9.0,4.0,5.0,15.0,14.0,18.0,20.0,24.0,3.0,17.0,13.0,21.0,11.0,14.0,19.0,14.0
11,15.0,9.0,15.0,11.0,17.0,21.0,15.0,13.0,7.0,4.0,18.0,19.0,13.0,15.0,20.0,9.0,8.0,6.0,11.0,18.0,20.0,18.0,22.0
