,0
0,25
1,3
2,3
3,3
4,4
5,4
6,4
7,4
8,5
9,6
10,6
11,4
12,4
13,4
14,4
15,5
16,6
17,6
18,5
19,6
20,6
21,6
22,7
23,7
24,5
25,4
26,4
27,5
28,4
29,4
30,4
31,36
32,50
33,52
34,56
35,62
36,68
37,70
38,74
39,76
40,80
41,84
42,83
43,86
44,86
45,85
46,93
47,93
48,92
49,88
50,96
51,85
52,87
53,90
54,90
55,90
56,92
57,90
58,97
59,97
60,103
61,97
62,101
63,105
64,109
65,111
66,114
67,119
68,122
69,129
70,123
71,112
72,113
73,113
74,114
75,114
76,108
77,109
78,110
79,110
80,112
81,111
82,110
83,116
84,120
85,119
86,124
87,124
88,125
89,128
90,128
91,115
92,113
93,113
94,117
95,117
96,116
97,119
98,126
99,126
100,126
101,129
102,128
103,129
104,130
105,130
106,130
107,131
108,128
109,130
110,131
111,133
112,134
113,139
114,143
115,144
116,144
117,146
118,146
119,149
120,147
121,126
122,123
123,124
124,123
125,122
126,122
127,119
128,120
129,118
130,118
131,116
132,116
133,121
134,123
135,123
136,126
137,126
138,127
139,128
140,129
141,130
142,130
143,130
144,128
145,128
146,124
147,123
148,125
149,127
150,129
151,124
152,123
153,120
154,119
155,118
156,117
157,119
158,121
159,126
160,125
161,121
162,119
163,116
164,114
165,115
166,108
167,108
168,107
169,106
170,104
171,103
172,103
173,103
174,103
175,103
176,101
177,103
178,104
179,103
180,105
181,100
182,98
183,98
184,98
185,95
186,95
187,93
188,95
189,94
190,97
191,97
192,99
193,100
194,98
195,96
196,99
197,100
198,101
199,102
200,101
201,103
202,103
203,102
204,103
205,106
206,107
207,106
208,110
209,111
210,109
211,97
212,95
213,92
214,91
215,89
216,92
217,97
218,95
219,95
220,95
221,97
222,96
223,97
224,99
225,99
226,98
227,97
228,96
229,93
230,94
231,96
232,106
233,104
234,102
235,103
236,106
237,108
238,108
239,105
240,105
241,91
242,100
243,100
244,105
245,105
246,104
247,109
248,100
249,101
250,105
251,102
252,103
253,101
254,97
255,99
256,99
257,104
258,104
259,109
260,110
261,113
262,112
263,109
264,114
265,113
266,113
267,110
268,112
269,111
270,111
271,96
272,91
273,91
274,90
275,82
276,80
277,83
278,81
279,79
280,81
281,84
282,82
283,83
284,83
285,87
286,88
287,91
288,92
289,91
290,91
291,89
292,92
293,93
294,94
295,95
296,98
297,97
298,98
299,97
