,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,24.0,8.0,20.0,9.0,21.0,11.0,11.0,7.0,1.0,1.0,1.0,20.0,22.0,20.0,22.0,24.0,24.0,24.0,10.0,24.0,9.0,11.0,7.0,6.0,13.0,7.0,14.0,18.0,24.0,24.0
1,21.0,11.0,4.0,7.0,22.0,17.0,15.0,14.0,1.0,0.0,0.0,24.0,22.0,22.0,19.0,23.0,24.0,21.0,16.0,22.0,17.0,5.0,4.0,7.0,10.0,4.0,15.0,24.0,22.0,24.0
2,24.0,15.0,12.0,7.0,8.0,15.0,7.0,23.0,0.0,0.0,11.0,22.0,22.0,14.0,19.0,23.0,24.0,24.0,11.0,16.0,12.0,7.0,15.0,6.0,7.0,12.0,23.0,23.0,14.0,21.0
3,24.0,4.0,5.0,4.0,4.0,24.0,22.0,24.0,3.0,2.0,17.0,17.0,24.0,12.0,17.0,19.0,18.0,23.0,23.0,23.0,8.0,12.0,2.0,8.0,4.0,7.0,20.0,20.0,23.0,24.0
4,17.0,19.0,10.0,10.0,8.0,14.0,19.0,14.0,3.0,1.0,1.0,23.0,23.0,22.0,24.0,14.0,24.0,24.0,22.0,10.0,9.0,12.0,8.0,10.0,10.0,14.0,14.0,10.0,24.0,24.0
5,20.0,17.0,6.0,18.0,7.0,13.0,11.0,19.0,2.0,1.0,6.0,22.0,21.0,17.0,24.0,18.0,24.0,21.0,18.0,10.0,14.0,11.0,11.0,16.0,7.0,12.0,15.0,21.0,11.0,24.0
6,24.0,6.0,11.0,5.0,6.0,19.0,16.0,24.0,11.0,11.0,21.0,22.0,19.0,7.0,2.0,18.0,21.0,24.0,24.0,10.0,6.0,15.0,9.0,6.0,3.0,3.0,24.0,24.0,22.0,24.0
7,22.0,12.0,10.0,1.0,12.0,21.0,19.0,14.0,0.0,0.0,4.0,22.0,20.0,21.0,23.0,21.0,23.0,24.0,15.0,15.0,8.0,14.0,10.0,18.0,12.0,10.0,15.0,14.0,17.0,20.0
8,24.0,11.0,14.0,5.0,12.0,9.0,24.0,12.0,1.0,1.0,6.0,24.0,16.0,20.0,24.0,19.0,24.0,24.0,16.0,16.0,10.0,6.0,13.0,1.0,15.0,1.0,21.0,20.0,24.0,24.0
9,23.0,22.0,1.0,5.0,2.0,16.0,24.0,18.0,5.0,5.0,22.0,24.0,24.0,14.0,4.0,13.0,24.0,24.0,24.0,9.0,10.0,11.0,7.0,9.0,3.0,5.0,19.0,23.0,23.0,24.0
