,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
0,24.0,6.0,24.0,6.0,7.0,17.0,19.0,24.0,7.0,16.0,21.0,3.0,6.0,12.0,20.0,11.0,3.0,11.0,9.0,17.0,13.0,24.0,24.0
1,10.0,8.0,7.0,7.0,24.0,24.0,23.0,1.0,1.0,0.0,22.0,21.0,20.0,20.0,24.0,11.0,10.0,2.0,4.0,22.0,24.0,21.0,18.0
2,11.0,13.0,11.0,13.0,18.0,20.0,17.0,1.0,17.0,12.0,18.0,15.0,13.0,13.0,20.0,5.0,14.0,9.0,17.0,18.0,16.0,19.0,14.0
3,18.0,11.0,15.0,14.0,15.0,15.0,15.0,15.0,15.0,11.0,9.0,20.0,9.0,15.0,15.0,10.0,7.0,7.0,13.0,16.0,13.0,24.0,22.0
4,20.0,17.0,11.0,16.0,15.0,6.0,18.0,20.0,20.0,6.0,9.0,17.0,10.0,16.0,11.0,10.0,5.0,11.0,11.0,15.0,16.0,24.0,20.0
5,24.0,19.0,14.0,14.0,16.0,14.0,2.0,11.0,19.0,5.0,10.0,14.0,16.0,16.0,18.0,8.0,10.0,9.0,12.0,18.0,9.0,24.0,22.0
6,24.0,12.0,16.0,19.0,6.0,9.0,17.0,15.0,16.0,9.0,15.0,16.0,9.0,12.0,17.0,2.0,11.0,15.0,7.0,16.0,20.0,20.0,21.0
7,7.0,13.0,11.0,17.0,20.0,17.0,18.0,6.0,7.0,8.0,14.0,20.0,20.0,20.0,14.0,7.0,17.0,17.0,14.0,15.0,16.0,16.0,10.0
8,24.0,11.0,12.0,13.0,11.0,16.0,16.0,18.0,15.0,11.0,16.0,6.0,7.0,19.0,17.0,11.0,12.0,8.0,11.0,15.0,8.0,24.0,23.0
9,24.0,24.0,12.0,9.0,11.0,4.0,19.0,8.0,11.0,15.0,11.0,24.0,7.0,16.0,17.0,3.0,8.0,11.0,9.0,16.0,18.0,24.0,23.0
10,11.0,12.0,12.0,10.0,19.0,18.0,21.0,3.0,1.0,3.0,21.0,24.0,21.0,19.0,17.0,5.0,18.0,20.0,15.0,18.0,14.0,16.0,6.0
11,14.0,11.0,6.0,4.0,21.0,23.0,24.0,0.0,1.0,2.0,23.0,23.0,19.0,20.0,21.0,1.0,11.0,3.0,15.0,13.0,23.0,23.0,23.0
12,22.0,10.0,17.0,5.0,19.0,7.0,23.0,15.0,7.0,18.0,13.0,24.0,8.0,12.0,12.0,4.0,4.0,5.0,5.0,23.0,23.0,24.0,24.0
13,10.0,9.0,8.0,10.0,24.0,24.0,18.0,6.0,4.0,6.0,23.0,5.0,17.0,24.0,24.0,2.0,2.0,18.0,2.0,20.0,20.0,24.0,24.0
14,16.0,16.0,15.0,14.0,18.0,10.0,14.0,7.0,7.0,11.0,17.0,19.0,21.0,12.0,15.0,2.0,9.0,13.0,16.0,21.0,15.0,15.0,21.0
15,10.0,12.0,10.0,13.0,21.0,16.0,21.0,9.0,0.0,1.0,22.0,17.0,22.0,16.0,22.0,4.0,11.0,18.0,13.0,19.0,24.0,15.0,8.0
16,17.0,10.0,14.0,14.0,15.0,16.0,17.0,20.0,12.0,4.0,18.0,10.0,11.0,19.0,15.0,12.0,7.0,10.0,9.0,17.0,15.0,21.0,21.0
17,8.0,5.0,16.0,11.0,22.0,24.0,17.0,5.0,5.0,9.0,24.0,3.0,16.0,23.0,24.0,3.0,3.0,16.0,2.0,24.0,20.0,22.0,22.0
18,24.0,17.0,10.0,11.0,8.0,16.0,17.0,14.0,16.0,11.0,14.0,7.0,6.0,24.0,17.0,9.0,15.0,7.0,9.0,13.0,13.0,22.0,24.0
19,9.0,10.0,11.0,10.0,17.0,22.0,24.0,5.0,13.0,5.0,13.0,21.0,18.0,18.0,16.0,2.0,16.0,19.0,17.0,11.0,17.0,19.0,11.0
20,24.0,16.0,17.0,10.0,13.0,10.0,13.0,11.0,11.0,4.0,22.0,24.0,4.0,24.0,9.0,9.0,5.0,4.0,13.0,9.0,24.0,24.0,24.0
21,24.0,12.0,17.0,5.0,19.0,7.0,19.0,20.0,8.0,6.0,7.0,20.0,13.0,24.0,11.0,9.0,3.0,2.0,8.0,19.0,23.0,24.0,24.0
22,21.0,15.0,14.0,17.0,12.0,12.0,12.0,15.0,13.0,14.0,10.0,13.0,17.0,18.0,9.0,9.0,8.0,9.0,12.0,9.0,19.0,23.0,23.0
23,15.0,5.0,9.0,7.0,24.0,20.0,23.0,9.0,9.0,9.0,24.0,7.0,3.0,24.0,24.0,4.0,2.0,3.0,12.0,24.0,24.0,23.0,20.0
24,7.0,15.0,6.0,6.0,24.0,24.0,21.0,8.0,3.0,5.0,18.0,13.0,14.0,24.0,24.0,2.0,14.0,3.0,16.0,10.0,23.0,20.0,24.0
25,17.0,14.0,14.0,9.0,12.0,20.0,17.0,18.0,10.0,9.0,15.0,6.0,15.0,17.0,19.0,7.0,9.0,14.0,6.0,17.0,14.0,21.0,24.0
26,6.0,10.0,9.0,15.0,24.0,16.0,23.0,6.0,2.0,11.0,24.0,17.0,10.0,18.0,21.0,1.0,20.0,12.0,15.0,13.0,20.0,12.0,19.0
27,14.0,10.0,7.0,4.0,22.0,24.0,22.0,1.0,1.0,0.0,15.0,22.0,23.0,24.0,23.0,1.0,7.0,17.0,15.0,19.0,17.0,20.0,16.0
28,7.0,10.0,17.0,17.0,17.0,18.0,17.0,10.0,9.0,12.0,10.0,13.0,13.0,19.0,23.0,1.0,21.0,16.0,19.0,17.0,20.0,11.0,7.0
29,16.0,6.0,9.0,7.0,24.0,17.0,24.0,0.0,3.0,7.0,17.0,17.0,22.0,20.0,23.0,0.0,9.0,9.0,15.0,22.0,18.0,17.0,22.0
30,21.0,15.0,14.0,12.0,16.0,12.0,13.0,18.0,11.0,18.0,9.0,20.0,9.0,17.0,7.0,10.0,9.0,7.0,13.0,19.0,19.0,18.0,17.0
