,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,16.0,13.0,10.0,7.0,10.0,24.0,24.0,24.0,11.0,17.0,15.0,24.0,8.0,24.0,24.0,12.0,8.0,7.0,12.0,6.0,18.0
1,9.0,13.0,14.0,8.0,14.0,24.0,22.0,18.0,18.0,20.0,16.0,14.0,13.0,24.0,17.0,13.0,11.0,6.0,10.0,15.0,15.0
2,6.0,1.0,14.0,22.0,23.0,21.0,17.0,10.0,11.0,8.0,22.0,24.0,24.0,22.0,2.0,6.0,9.0,2.0,24.0,22.0,24.0
3,14.0,12.0,14.0,14.0,16.0,18.0,16.0,16.0,12.0,12.0,19.0,19.0,21.0,19.0,11.0,8.0,8.0,9.0,15.0,21.0,20.0
4,14.0,14.0,9.0,9.0,10.0,24.0,24.0,12.0,12.0,11.0,16.0,24.0,24.0,24.0,24.0,21.0,3.0,7.0,23.0,7.0,2.0
5,11.0,11.0,12.0,14.0,10.0,24.0,22.0,18.0,18.0,19.0,10.0,18.0,16.0,24.0,24.0,10.0,15.0,9.0,9.0,9.0,11.0
6,12.0,13.0,15.0,9.0,13.0,20.0,22.0,21.0,15.0,11.0,14.0,21.0,17.0,24.0,16.0,13.0,11.0,18.0,9.0,13.0,7.0
7,6.0,6.0,21.0,13.0,10.0,24.0,24.0,8.0,8.0,11.0,24.0,24.0,24.0,24.0,3.0,6.0,4.0,8.0,19.0,23.0,24.0
8,6.0,11.0,17.0,12.0,14.0,22.0,22.0,23.0,16.0,17.0,15.0,18.0,10.0,24.0,22.0,12.0,11.0,6.0,10.0,8.0,18.0
9,10.0,8.0,24.0,11.0,4.0,24.0,23.0,24.0,15.0,6.0,13.0,24.0,17.0,24.0,24.0,13.0,8.0,13.0,4.0,9.0,16.0
10,7.0,13.0,12.0,16.0,8.0,24.0,24.0,21.0,16.0,16.0,16.0,14.0,16.0,24.0,21.0,16.0,11.0,7.0,8.0,10.0,14.0
11,2.0,3.0,9.0,22.0,20.0,24.0,24.0,3.0,8.0,19.0,24.0,24.0,21.0,24.0,3.0,5.0,3.0,6.0,24.0,22.0,24.0
12,6.0,5.0,4.0,24.0,18.0,24.0,23.0,16.0,8.0,7.0,22.0,24.0,22.0,24.0,7.0,6.0,5.0,6.0,23.0,19.0,21.0
13,10.0,11.0,18.0,13.0,14.0,20.0,18.0,18.0,15.0,14.0,19.0,19.0,14.0,10.0,9.0,16.0,17.0,11.0,11.0,13.0,24.0
14,10.0,12.0,20.0,11.0,9.0,20.0,22.0,19.0,16.0,16.0,12.0,19.0,17.0,22.0,24.0,16.0,10.0,10.0,10.0,9.0,10.0
15,1.0,2.0,21.0,18.0,18.0,20.0,24.0,20.0,10.0,10.0,16.0,24.0,19.0,23.0,13.0,4.0,3.0,3.0,22.0,23.0,20.0
16,15.0,16.0,11.0,18.0,12.0,18.0,14.0,14.0,18.0,16.0,19.0,15.0,17.0,21.0,23.0,14.0,14.0,8.0,12.0,9.0,10.0
17,4.0,3.0,10.0,24.0,15.0,24.0,24.0,12.0,10.0,10.0,22.0,21.0,24.0,24.0,7.0,10.0,5.0,3.0,23.0,15.0,24.0
18,20.0,7.0,10.0,12.0,7.0,24.0,24.0,7.0,11.0,10.0,24.0,23.0,24.0,24.0,24.0,24.0,3.0,12.0,13.0,4.0,7.0
19,17.0,7.0,15.0,20.0,20.0,16.0,9.0,16.0,15.0,15.0,18.0,15.0,20.0,13.0,8.0,8.0,18.0,15.0,12.0,18.0,19.0
20,2.0,1.0,21.0,10.0,22.0,24.0,24.0,19.0,10.0,7.0,17.0,24.0,22.0,23.0,3.0,0.0,3.0,13.0,21.0,24.0,24.0
21,13.0,16.0,12.0,10.0,14.0,24.0,15.0,18.0,15.0,17.0,13.0,18.0,18.0,24.0,18.0,16.0,13.0,7.0,7.0,12.0,14.0
22,9.0,11.0,7.0,18.0,13.0,22.0,24.0,21.0,16.0,18.0,14.0,14.0,16.0,23.0,22.0,11.0,10.0,8.0,21.0,10.0,6.0
23,4.0,1.0,22.0,22.0,16.0,21.0,18.0,11.0,10.0,10.0,20.0,24.0,24.0,16.0,5.0,7.0,9.0,14.0,19.0,22.0,19.0
24,4.0,1.0,13.0,24.0,14.0,24.0,24.0,9.0,10.0,8.0,24.0,24.0,24.0,22.0,5.0,0.0,4.0,15.0,24.0,21.0,20.0
25,8.0,13.0,24.0,7.0,6.0,22.0,24.0,16.0,12.0,5.0,24.0,18.0,24.0,24.0,19.0,10.0,3.0,4.0,4.0,24.0,23.0
26,12.0,9.0,6.0,12.0,17.0,24.0,24.0,24.0,17.0,8.0,22.0,15.0,13.0,24.0,24.0,8.0,8.0,9.0,7.0,24.0,7.0
27,12.0,6.0,19.0,19.0,15.0,19.0,14.0,14.0,14.0,11.0,18.0,24.0,18.0,14.0,6.0,9.0,6.0,15.0,13.0,24.0,24.0
28,11.0,12.0,16.0,11.0,16.0,22.0,16.0,14.0,18.0,15.0,14.0,16.0,22.0,20.0,8.0,18.0,15.0,11.0,13.0,11.0,15.0
29,8.0,12.0,17.0,13.0,11.0,24.0,19.0,24.0,10.0,6.0,16.0,24.0,19.0,14.0,17.0,15.0,13.0,14.0,15.0,12.0,11.0
30,3.0,5.0,9.0,15.0,24.0,24.0,24.0,11.0,16.0,15.0,24.0,23.0,10.0,24.0,7.0,6.0,4.0,5.0,24.0,18.0,23.0
31,10.0,13.0,23.0,5.0,10.0,24.0,19.0,14.0,13.0,14.0,20.0,17.0,21.0,22.0,8.0,8.0,11.0,13.0,15.0,12.0,22.0
32,13.0,2.0,20.0,17.0,18.0,17.0,17.0,7.0,20.0,18.0,19.0,18.0,17.0,24.0,1.0,13.0,3.0,9.0,17.0,22.0,22.0
33,10.0,0.0,22.0,8.0,20.0,23.0,21.0,15.0,21.0,16.0,14.0,19.0,14.0,16.0,1.0,14.0,8.0,18.0,19.0,17.0,18.0
34,14.0,14.0,16.0,7.0,6.0,24.0,23.0,24.0,5.0,4.0,24.0,18.0,24.0,24.0,20.0,6.0,5.0,6.0,2.0,24.0,24.0
35,12.0,11.0,13.0,21.0,14.0,21.0,12.0,11.0,20.0,19.0,17.0,18.0,14.0,14.0,12.0,14.0,16.0,14.0,19.0,9.0,13.0
36,14.0,7.0,16.0,14.0,18.0,17.0,18.0,14.0,13.0,15.0,19.0,19.0,19.0,16.0,7.0,1.0,17.0,9.0,17.0,20.0,24.0
37,11.0,4.0,11.0,16.0,16.0,22.0,24.0,13.0,21.0,13.0,24.0,12.0,16.0,22.0,20.0,10.0,13.0,5.0,13.0,10.0,18.0
38,3.0,11.0,8.0,12.0,22.0,24.0,24.0,12.0,11.0,11.0,24.0,18.0,23.0,24.0,4.0,4.0,5.0,8.0,24.0,24.0,18.0
39,6.0,6.0,18.0,19.0,17.0,17.0,21.0,18.0,18.0,14.0,17.0,18.0,14.0,24.0,19.0,7.0,7.0,8.0,7.0,22.0,17.0
40,9.0,2.0,19.0,12.0,14.0,24.0,24.0,17.0,8.0,11.0,19.0,24.0,20.0,21.0,24.0,7.0,8.0,3.0,19.0,9.0,20.0
41,13.0,1.0,22.0,17.0,19.0,13.0,19.0,10.0,20.0,11.0,18.0,16.0,24.0,15.0,11.0,5.0,14.0,8.0,18.0,19.0,21.0
42,11.0,4.0,12.0,9.0,20.0,24.0,24.0,9.0,11.0,10.0,24.0,24.0,21.0,24.0,24.0,9.0,4.0,5.0,7.0,19.0,19.0
43,4.0,5.0,24.0,17.0,6.0,24.0,24.0,24.0,10.0,15.0,15.0,12.0,23.0,24.0,12.0,9.0,11.0,16.0,9.0,17.0,13.0
44,8.0,0.0,19.0,21.0,21.0,18.0,17.0,10.0,10.0,16.0,24.0,20.0,19.0,20.0,4.0,4.0,8.0,3.0,24.0,24.0,24.0
45,8.0,1.0,20.0,16.0,22.0,18.0,19.0,10.0,12.0,16.0,19.0,22.0,20.0,17.0,8.0,5.0,7.0,7.0,21.0,22.0,24.0
46,4.0,4.0,14.0,15.0,19.0,24.0,24.0,16.0,21.0,15.0,16.0,14.0,17.0,21.0,12.0,7.0,6.0,4.0,19.0,24.0,18.0
47,1.0,5.0,17.0,24.0,19.0,20.0,18.0,18.0,12.0,17.0,15.0,21.0,16.0,15.0,10.0,13.0,2.0,9.0,19.0,21.0,22.0
48,8.0,15.0,12.0,14.0,12.0,21.0,22.0,19.0,16.0,21.0,17.0,17.0,9.0,19.0,19.0,8.0,17.0,10.0,8.0,15.0,15.0
49,19.0,7.0,7.0,16.0,17.0,18.0,20.0,13.0,15.0,11.0,24.0,20.0,16.0,24.0,16.0,19.0,8.0,6.0,5.0,17.0,16.0
50,10.0,12.0,17.0,5.0,12.0,24.0,24.0,15.0,15.0,8.0,21.0,20.0,20.0,24.0,24.0,8.0,20.0,2.0,9.0,12.0,12.0
51,5.0,7.0,20.0,16.0,22.0,18.0,16.0,16.0,16.0,17.0,18.0,15.0,17.0,18.0,8.0,14.0,7.0,10.0,13.0,24.0,17.0
52,5.0,5.0,9.0,14.0,24.0,23.0,24.0,12.0,16.0,17.0,24.0,23.0,7.0,24.0,18.0,6.0,2.0,2.0,21.0,18.0,20.0
53,9.0,6.0,10.0,15.0,16.0,24.0,24.0,17.0,8.0,7.0,24.0,22.0,21.0,24.0,11.0,7.0,8.0,6.0,11.0,20.0,24.0
54,11.0,10.0,15.0,19.0,13.0,21.0,15.0,21.0,16.0,16.0,16.0,15.0,15.0,19.0,12.0,19.0,11.0,12.0,19.0,7.0,12.0
55,8.0,2.0,22.0,14.0,14.0,20.0,24.0,12.0,16.0,9.0,14.0,24.0,24.0,24.0,17.0,15.0,7.0,9.0,7.0,24.0,8.0
56,1.0,2.0,19.0,10.0,24.0,24.0,24.0,17.0,8.0,17.0,17.0,24.0,16.0,24.0,22.0,4.0,7.0,15.0,9.0,14.0,16.0
57,7.0,1.0,14.0,22.0,20.0,23.0,17.0,16.0,15.0,12.0,24.0,14.0,18.0,24.0,3.0,12.0,10.0,5.0,21.0,20.0,16.0
58,3.0,3.0,24.0,23.0,3.0,24.0,24.0,7.0,18.0,3.0,24.0,24.0,23.0,23.0,10.0,13.0,5.0,9.0,17.0,10.0,24.0
59,10.0,7.0,18.0,17.0,19.0,14.0,19.0,14.0,13.0,14.0,16.0,18.0,24.0,15.0,11.0,7.0,11.0,12.0,17.0,18.0,20.0
60,7.0,2.0,24.0,14.0,21.0,20.0,16.0,11.0,12.0,19.0,20.0,18.0,19.0,24.0,6.0,5.0,6.0,2.0,24.0,22.0,22.0
61,10.0,5.0,18.0,13.0,17.0,23.0,18.0,11.0,24.0,13.0,13.0,20.0,18.0,24.0,7.0,15.0,2.0,5.0,20.0,21.0,17.0
62,13.0,12.0,16.0,11.0,22.0,12.0,18.0,18.0,19.0,16.0,15.0,18.0,13.0,16.0,16.0,10.0,13.0,17.0,13.0,18.0,8.0
63,10.0,7.0,20.0,13.0,6.0,24.0,24.0,20.0,11.0,13.0,13.0,24.0,18.0,24.0,24.0,8.0,16.0,12.0,11.0,11.0,5.0
64,11.0,6.0,20.0,18.0,1.0,24.0,24.0,10.0,8.0,23.0,23.0,13.0,22.0,24.0,24.0,5.0,13.0,5.0,10.0,16.0,14.0
65,7.0,6.0,24.0,13.0,6.0,24.0,24.0,18.0,6.0,7.0,20.0,24.0,24.0,23.0,24.0,9.0,4.0,16.0,9.0,7.0,19.0
66,7.0,10.0,12.0,15.0,22.0,21.0,17.0,14.0,17.0,13.0,23.0,19.0,13.0,21.0,21.0,7.0,10.0,3.0,14.0,19.0,16.0
67,8.0,10.0,13.0,12.0,22.0,15.0,24.0,15.0,16.0,15.0,12.0,24.0,17.0,18.0,11.0,6.0,8.0,12.0,18.0,20.0,18.0
68,7.0,7.0,3.0,16.0,23.0,24.0,24.0,12.0,14.0,8.0,24.0,24.0,17.0,22.0,10.0,2.0,5.0,2.0,24.0,24.0,22.0
69,3.0,1.0,24.0,17.0,20.0,22.0,17.0,10.0,13.0,14.0,19.0,23.0,20.0,14.0,11.0,1.0,16.0,8.0,18.0,21.0,22.0
70,8.0,10.0,21.0,15.0,21.0,14.0,15.0,11.0,12.0,13.0,24.0,21.0,18.0,23.0,4.0,11.0,9.0,2.0,23.0,20.0,19.0
71,13.0,12.0,12.0,19.0,10.0,17.0,21.0,17.0,11.0,12.0,17.0,24.0,18.0,20.0,13.0,13.0,5.0,21.0,12.0,14.0,13.0
72,8.0,6.0,24.0,11.0,7.0,24.0,24.0,10.0,22.0,1.0,23.0,22.0,21.0,24.0,14.0,3.0,4.0,3.0,15.0,24.0,24.0
73,1.0,8.0,19.0,18.0,14.0,20.0,24.0,19.0,13.0,18.0,15.0,11.0,23.0,24.0,24.0,9.0,17.0,5.0,10.0,11.0,11.0
74,19.0,10.0,12.0,11.0,6.0,22.0,24.0,18.0,11.0,10.0,24.0,18.0,18.0,24.0,24.0,10.0,4.0,5.0,7.0,18.0,19.0
75,8.0,5.0,11.0,13.0,21.0,23.0,23.0,9.0,19.0,12.0,19.0,24.0,16.0,24.0,19.0,7.0,9.0,12.0,16.0,6.0,18.0
76,7.0,6.0,11.0,18.0,17.0,24.0,21.0,9.0,15.0,10.0,23.0,18.0,24.0,23.0,7.0,11.0,4.0,10.0,14.0,19.0,23.0
77,7.0,3.0,15.0,12.0,19.0,24.0,24.0,13.0,19.0,4.0,22.0,23.0,18.0,17.0,16.0,12.0,2.0,17.0,14.0,18.0,15.0
78,2.0,4.0,12.0,14.0,24.0,24.0,24.0,8.0,5.0,21.0,24.0,17.0,24.0,24.0,3.0,7.0,5.0,2.0,24.0,22.0,24.0
79,11.0,17.0,8.0,14.0,14.0,20.0,20.0,15.0,18.0,16.0,13.0,17.0,20.0,20.0,19.0,9.0,8.0,9.0,16.0,13.0,17.0
80,17.0,17.0,10.0,14.0,18.0,7.0,21.0,14.0,14.0,15.0,17.0,20.0,19.0,10.0,10.0,12.0,12.0,12.0,20.0,16.0,19.0
81,11.0,10.0,8.0,13.0,14.0,24.0,24.0,16.0,16.0,9.0,17.0,17.0,24.0,23.0,14.0,10.0,9.0,8.0,14.0,24.0,9.0
82,4.0,2.0,12.0,21.0,17.0,24.0,24.0,11.0,9.0,14.0,24.0,17.0,24.0,24.0,14.0,2.0,15.0,2.0,21.0,21.0,12.0
